PDB_ID,I_Class_RFC_a,I_Probability_true_RFC_all_feat,I_Class_NN_a,I_Probability_true_NN_all_feat,I_Class_RFC_s,I_Probability_true_RFC_selected,I_Class_NN_s,I_Probability_true_NN_selected,Training
2f1z_5.pdb,True,0.645,False,0.16,True,0.715, True,0.523,No
2f5e_1.pdb,True,0.831, True,1.0,True,0.914, True,0.998,No
2f6s_1.pdb,True,0.749,False,0.169,True,0.772, True,0.701,No
2f96_1.pdb,True,0.825, True,0.999,True,0.824, True,0.922,No
2f9q_2.pdb,True,0.561,False,0.056,True,0.576, True,0.513,No
2f9q_3.pdb,True,0.82, True,0.999,True,0.764, True,0.987,No
2fca_1.pdb,True,0.819, True,0.931,True,0.742, True,0.846,No
2fco_1.pdb,True,0.834, True,0.884,True,0.799, True,0.863,No
2ffv_3.pdb,True,0.721, True,0.91,True,0.653, True,0.775,No
2fhq_1.pdb,True,0.74, True,0.993,True,0.787, True,0.919,No
2fj2_2.pdb,True,0.764,False,0.04,True,0.71,False,0.071,No
2fn1_1.pdb,True,0.845, True,0.995,True,0.82, True,0.958,No
2fuc_1.pdb,True,0.87, True,0.988,True,0.891, True,0.942,No
2fv7_1.pdb,False,0.177,False,0.01,False,0.157,False,0.126,No
2g0h_1.pdb,False,0.174,False,0.298,False,0.09,False,0.451,No
2g3k_8.pdb,True,0.741, True,0.947,True,0.665, True,0.91,No
2g3p_1.pdb,True,0.743, True,0.558,True,0.785, True,0.746,No
2g45_2.pdb,True,0.856, True,1.0,True,0.751, True,0.903,No
2g7p_1.pdb,True,0.733, True,0.878,True,0.672, True,0.731,No
2gd5_1.pdb,True,0.809, True,1.0,True,0.956, True,0.994,No
2gff_1.pdb,True,0.839, True,0.998,True,0.918, True,0.977,No
2goj_1.pdb,True,0.813, True,0.974,True,0.697, True,0.894,No
2gpc_1.pdb,True,0.64, True,0.57,True,0.738, True,0.719,No
2gs2_1.pdb,True,0.918, True,0.987,True,0.887, True,0.965,No
2gsl_3.pdb,True,0.91, True,0.999,True,0.904, True,0.991,No
2gwh_1.pdb,False,0.425,False,0.016,False,0.305,False,0.245,No
2gz6_1.pdb,True,0.514,False,0.345,True,0.514,False,0.415,No
2h2w_1.pdb,True,0.74, True,0.967,True,0.693, True,0.813,No
2h8k_1.pdb,False,0.426,False,0.081,False,0.406,False,0.397,No
2h9u_1.pdb,True,0.884, True,0.966,True,0.801, True,0.677,No
2ha7_1.pdb,False,0.435,False,0.255,False,0.387,False,0.479,No
2hb0_1.pdb,False,0.397,False,0.012,False,0.273,False,0.46,No
2hjd_1.pdb,True,0.834, True,1.0,True,0.933, True,0.999,No
2hk3_1.pdb,True,0.859, True,1.0,True,0.862, True,0.991,No
2hku_1.pdb,True,0.846, True,1.0,True,0.926, True,0.998,No
2hng_1.pdb,True,0.87, True,0.99,True,0.805, True,0.813,No
2hzb_1.pdb,True,0.86, True,1.0,True,0.798, True,0.996,No
2i45_4.pdb,True,0.876, True,0.997,True,0.83, True,0.928,No
2i5p_1.pdb,True,0.785, True,1.0,True,0.855, True,0.874,No
2i6a_2.pdb,True,0.798, True,0.991,True,0.926, True,0.957,No
2i7p_1.pdb,False,0.446,False,0.074,False,0.426, True,0.502,No
2i91_1.pdb,True,0.582,False,0.494,True,0.699, True,0.612,No
2i9z_1.pdb,True,0.863, True,0.984,True,0.895, True,0.881,No
2ibm_4.pdb,True,0.84, True,0.987,True,0.753, True,0.967,No
2idl_1.pdb,True,0.861, True,0.997,True,0.905, True,0.976,No
2ijd_5.pdb,True,0.679, True,0.991,True,0.723, True,0.972,No
2ikk_1.pdb,True,0.815, True,0.981,True,0.87, True,0.925,No
2imn_1.pdb,True,0.74, True,0.889,True,0.668, True,0.881,No
2imz_1.pdb,True,0.713, True,0.687,True,0.732, True,0.832,No
2io3_12.pdb,True,0.699, True,1.0,True,0.676, True,0.726,No
2isy_1.pdb,True,0.861, True,0.998,True,0.842, True,0.985,No
2itf_5.pdb,False,0.3,False,0.003,False,0.322,False,0.136,No
2iut_1.pdb,False,0.13,False,0.248,False,0.091, True,0.553,No
2iut_6.pdb,True,0.626,False,0.007,False,0.318, True,0.53,No
2iy2_1.pdb,True,0.854, True,0.995,True,0.806, True,0.931,No
2j3s_1.pdb,False,0.259,False,0.302,False,0.262,False,0.435,No
2j3x_1.pdb,True,0.578,False,0.013,False,0.434,False,0.12,No
2j3z_7.pdb,True,0.565,False,0.069,False,0.284,False,0.444,No
2j7l_4.pdb,True,0.69, True,0.878,True,0.623, True,0.885,No
2j80_1.pdb,True,0.643,False,0.407,True,0.63,False,0.246,No
2j85_1.pdb,True,0.88, True,0.997,True,0.953, True,0.949,No
2j8m_1.pdb,True,0.827, True,1.0,True,0.788, True,0.954,No
2j8w_1.pdb,True,0.765, True,0.973,True,0.802, True,0.902,No
2j8z_1.pdb,True,0.819, True,1.0,True,0.733, True,0.722,No
2j98_1.pdb,True,0.797, True,0.956,True,0.827, True,0.942,No
2jbx_1.pdb,True,0.86, True,0.998,True,0.828, True,0.981,No
2jfp_1.pdb,True,0.773, True,0.934,True,0.808, True,0.815,No
2jkr_34.pdb,True,0.565,False,0.098,True,0.589,False,0.465,No
2jlp_3.pdb,True,0.784, True,0.838,True,0.765, True,0.798,No
2npn_3.pdb,False,0.323,False,0.145,False,0.32,False,0.431,No
2nsa_5.pdb,True,0.832, True,0.998,True,0.862, True,0.978,No
2nsa_6.pdb,True,0.807, True,0.944,True,0.758, True,0.936,No
2ntx_3.pdb,True,0.824,False,0.118,True,0.606, True,0.6,No
2nub_6.pdb,True,0.531,False,0.054,True,0.618,False,0.485,No
2nvn_1.pdb,True,0.806, True,0.985,True,0.834, True,0.905,No
2nwu_1.pdb,False,0.128,False,0.001,False,0.066,False,0.034,No
2nwv_1.pdb,True,0.803, True,0.959,True,0.877, True,0.888,No
2nx9_1.pdb,True,0.823, True,1.0,True,0.899, True,0.991,No
2nyb_2.pdb,True,0.822, True,0.976,True,0.808, True,0.878,No
2nys_1.pdb,True,0.803, True,1.0,True,0.859, True,0.993,No
2o1v_1.pdb,True,0.819, True,1.0,True,0.741, True,0.996,No
2o7m_6.pdb,True,0.822, True,0.998,True,0.846, True,0.926,No
2o9a_1.pdb,True,0.726, True,0.795,True,0.825, True,0.879,No
2oai_1.pdb,True,0.674,False,0.028,False,0.499,False,0.317,No
2ob5_1.pdb,True,0.836, True,0.974,True,0.894, True,0.954,No
2ofj_1.pdb,False,0.458,False,0.007,False,0.28,False,0.347,No
2ogi_1.pdb,True,0.756, True,0.969,True,0.825, True,0.899,No
2oik_2.pdb,True,0.678, True,0.825,True,0.641, True,0.685,No
2omk_1.pdb,True,0.818, True,0.982,True,0.72, True,0.88,No
2ont_3.pdb,True,0.802, True,1.0,True,0.742, True,0.997,No
2oo2_1.pdb,True,0.848, True,0.999,True,0.844, True,0.993,No
2oqt_5.pdb,True,0.871, True,0.994,True,0.892, True,0.943,No
2ov8_1.pdb,True,0.772, True,0.935,True,0.816, True,0.921,No
2ovg_3.pdb,True,0.811, True,0.883,True,0.776, True,0.812,No
2ovi_2.pdb,True,0.824, True,1.0,True,0.862, True,0.977,No
2oz6_1.pdb,True,0.829, True,1.0,True,0.797, True,0.997,No
2ozv_1.pdb,True,0.811, True,0.983,True,0.865, True,0.906,No
2p22_22.pdb,True,0.862, True,1.0,True,0.837, True,0.994,No
2p5u_1.pdb,True,0.838, True,1.0,True,0.848, True,0.995,No
2pcj_1.pdb,False,0.46, True,0.711,False,0.498, True,0.632,No
2pf4_5.pdb,True,0.742, True,0.972,True,0.838, True,0.859,No
2pfi_1.pdb,True,0.83, True,0.951,True,0.857, True,0.949,No
2ph0_1.pdb,True,0.848, True,0.998,True,0.888, True,0.945,No
2ph1_1.pdb,True,0.832, True,0.903,True,0.749, True,0.75,No
2pij_1.pdb,True,0.687,False,0.021,True,0.522,False,0.375,No
2pju_1.pdb,True,0.756, True,0.862,True,0.807, True,0.914,No
2pl1_1.pdb,True,0.698, True,0.563,True,0.595, True,0.861,No
2pls_5.pdb,True,0.59,False,0.058,True,0.563, True,0.584,No
2pmr_1.pdb,True,0.834, True,1.0,True,0.975, True,0.989,No
2pn5_2.pdb,True,0.812, True,0.848,True,0.746, True,0.762,No
2ppv_1.pdb,True,0.859, True,1.0,True,0.855, True,0.999,No
2pr8_3.pdb,True,0.874, True,1.0,True,0.846, True,0.993,No
2pwj_2.pdb,True,0.841, True,0.985,True,0.859, True,0.943,No
2pzz_1.pdb,True,0.606,False,0.057,False,0.395,False,0.23,No
2q24_2.pdb,True,0.826, True,0.993,True,0.778, True,0.965,No
2q30_4.pdb,True,0.887, True,1.0,True,0.909, True,0.993,No
2q4n_1.pdb,True,0.819, True,0.789,True,0.861, True,0.85,No
2q5c_3.pdb,True,0.74, True,0.836,True,0.848, True,0.89,No
2q7d_1.pdb,True,0.841, True,0.892,True,0.896, True,0.985,No
2q8r_2.pdb,True,0.784,False,0.028,True,0.842,False,0.21,No
2qaz_2.pdb,True,0.85, True,0.984,True,0.853, True,0.949,No
2qc7_2.pdb,True,0.624, True,0.553,True,0.548, True,0.79,No
2qgh_1.pdb,True,0.766, True,1.0,True,0.801, True,0.816,No
2qld_1.pdb,True,0.806, True,0.999,True,0.847, True,0.994,No
2qlx_2.pdb,True,0.818, True,1.0,True,0.791, True,0.989,No
2qms_1.pdb,True,0.887, True,0.999,True,0.875, True,0.984,No
2qrr_1.pdb,True,0.775, True,0.835,True,0.63, True,0.676,No
2qsq_1.pdb,True,0.763, True,0.976,True,0.678, True,0.829,No
2qxl_1.pdb,True,0.785, True,0.993,True,0.714, True,0.847,No
2qxy_1.pdb,True,0.711, True,0.799,True,0.678, True,0.667,No
2qyu_1.pdb,True,0.754, True,0.998,True,0.84, True,0.912,No
2r3v_6.pdb,True,0.868, True,1.0,True,0.881, True,0.989,No
2r7h_1.pdb,True,0.779, True,0.585,True,0.928, True,0.906,No
2r8q_1.pdb,True,0.833, True,0.998,True,0.808, True,0.988,No
2rax_22.pdb,True,0.9, True,0.998,True,0.853, True,0.979,No
2rc3_2.pdb,True,0.878, True,1.0,True,0.941, True,0.997,No
2rcv_2.pdb,True,0.658, True,0.642,True,0.696, True,0.766,No
2rdi_2.pdb,True,0.842, True,0.995,True,0.847, True,0.938,No
2rgv_1.pdb,True,0.78, True,1.0,True,0.714, True,0.975,No
2rhj_1.pdb,True,0.763, True,0.996,True,0.754, True,0.932,No
2snw_1.pdb,False,0.367,False,0.336,False,0.271,False,0.42,No
2tpt_1.pdb,True,0.844, True,0.993,True,0.784, True,0.899,No
2uzj_8.pdb,True,0.794, True,0.623,True,0.857, True,0.892,No
2v3t_1.pdb,False,0.483,False,0.392,False,0.372, True,0.517,No
2v54_1.pdb,True,0.852, True,0.999,True,0.874, True,0.959,No
2v5n_1.pdb,False,0.121,False,0.001,False,0.086,False,0.033,No
2v9c_1.pdb,True,0.834, True,0.984,True,0.831, True,0.753,No
2vj4_7.pdb,True,0.718,False,0.312,True,0.755, True,0.781,No
2vnc_8.pdb,True,0.663, True,0.839,False,0.336, True,0.687,No
2vpk_1.pdb,True,0.868, True,1.0,True,0.874, True,0.997,No
2vrn_1.pdb,True,0.842, True,0.994,True,0.836, True,0.902,No
2vsc_4.pdb,True,0.774, True,1.0,True,0.782, True,0.984,No
2vx8_1.pdb,True,0.786, True,1.0,True,0.697, True,0.923,No
2w0l_2.pdb,True,0.693,False,0.465,True,0.631, True,0.692,No
2w68_11.pdb,True,0.602, True,0.552,True,0.582, True,0.767,No
2w7w_1.pdb,True,0.739, True,0.913,True,0.705, True,0.841,No
2wcu_1.pdb,True,0.818, True,0.999,True,0.884, True,0.991,No
2we8_2.pdb,True,0.858, True,0.999,True,0.809, True,0.989,No
2wfc_1.pdb,True,0.774, True,0.938,True,0.718, True,0.915,No
2wfh_1.pdb,True,0.752, True,0.993,True,0.748, True,0.914,No
2wnh_2.pdb,True,0.731,False,0.162,True,0.601,False,0.362,No
2wnh_5.pdb,False,0.285,False,0.0,False,0.067,False,0.057,No
2ws2_1.pdb,True,0.907, True,0.999,True,0.706, True,0.967,No
2wui_1.pdb,True,0.842, True,1.0,True,0.881, True,0.996,No
2x2a_1.pdb,False,0.474, True,0.898,False,0.277, True,0.876,No
2x2u_3.pdb,True,0.735, True,0.98,True,0.78, True,0.921,No
2x4i_1.pdb,True,0.871, True,0.997,True,0.958, True,0.957,No
2x6g_7.pdb,True,0.802,False,0.001,True,0.652,False,0.006,No
2xbf_2.pdb,False,0.48,False,0.461,False,0.408, True,0.74,No
2xcr_4.pdb,True,0.77, True,0.685,True,0.639, True,0.892,No
2xdp_6.pdb,True,0.791, True,1.0,True,0.684,False,0.286,No
2xeq_1.pdb,True,0.599,False,0.16,False,0.453,False,0.112,No
2xeq_5.pdb,False,0.497, True,0.615,True,0.538, True,0.708,No
2xer_3.pdb,True,0.866, True,0.996,True,0.915, True,0.962,No
2xeu_1.pdb,True,0.761, True,0.838,True,0.758, True,0.837,No
2xhf_1.pdb,True,0.791, True,0.956,True,0.818, True,0.959,No
2xiq_1.pdb,True,0.664,False,0.069,True,0.559, True,0.728,No
2xj3_1.pdb,True,0.843, True,0.984,True,0.848, True,0.969,No
2xj9_1.pdb,True,0.807, True,1.0,True,0.866, True,0.995,No
2xss_2.pdb,True,0.76, True,1.0,True,0.703,False,0.366,No
2xt2_1.pdb,True,0.799, True,1.0,True,0.755, True,0.996,No
2xwc_1.pdb,True,0.709,False,0.152,True,0.522,False,0.262,No
2yaz_6.pdb,True,0.508,False,0.313,True,0.564, True,0.732,No
2ycj_1.pdb,True,0.83, True,1.0,True,0.738, True,0.975,No
2ym0_5.pdb,True,0.88, True,1.0,True,0.922, True,0.994,No
2ym9_8.pdb,True,0.909, True,1.0,True,0.851, True,0.988,No
2ymz_2.pdb,True,0.808, True,0.907,True,0.688, True,0.789,No
2yvq_2.pdb,True,0.84, True,0.998,True,0.866, True,0.986,No
2yvu_1.pdb,True,0.876, True,0.999,True,0.875, True,0.98,No
2ywa_1.pdb,True,0.77, True,1.0,True,0.834, True,0.983,No
2yxz_2.pdb,True,0.759, True,1.0,True,0.689, True,0.611,No
2yy9_1.pdb,True,0.875, True,1.0,True,0.937, True,0.987,No
2z00_2.pdb,True,0.811, True,0.997,True,0.834, True,0.993,No
2z0f_1.pdb,True,0.869, True,0.999,True,0.809, True,0.976,No
2z6f_1.pdb,False,0.407,False,0.157,False,0.159,False,0.378,No
2z7c_2.pdb,True,0.845, True,0.942,True,0.769, True,0.789,No
2zb3_4.pdb,True,0.69,False,0.287,True,0.627, True,0.843,No
2ze3_1.pdb,True,0.722, True,1.0,True,0.714, True,0.641,No
2zhg_1.pdb,True,0.695, True,1.0,True,0.678, True,0.832,No
2zkj_2.pdb,True,0.567,False,0.35,True,0.653, True,0.745,No
2znh_1.pdb,True,0.665, True,1.0,True,0.73,False,0.18,No
2zoz_2.pdb,False,0.022,False,0.197,False,0.062,False,0.286,No
2zu1_3.pdb,True,0.827, True,0.993,True,0.799, True,0.912,No
2zv3_3.pdb,True,0.828, True,0.998,True,0.806, True,0.978,No
2zvz_1.pdb,True,0.823, True,0.963,True,0.853, True,0.845,No
2zw2_1.pdb,True,0.85, True,1.0,True,0.657, True,0.983,No
2zxy_1.pdb,False,0.218,False,0.068,False,0.207,False,0.175,No
2zz8_1.pdb,True,0.865, True,0.997,True,0.901, True,0.983,No
2zzn_2.pdb,True,0.862, True,0.995,True,0.87, True,0.97,No
2zzt_1.pdb,True,0.599,False,0.204,True,0.577,False,0.491,No
3a1d_5.pdb,True,0.705,False,0.043,True,0.588, True,0.583,No
3a44_1.pdb,True,0.722, True,1.0,True,0.727, True,0.801,No
3a9i_1.pdb,True,0.746, True,0.906,True,0.873, True,0.982,No
3aad_12.pdb,True,0.67, True,0.77,True,0.682, True,0.771,No
3ajz_1.pdb,True,0.824, True,0.555,True,0.701, True,0.501,No
3al9_1.pdb,True,0.716, True,0.961,True,0.736, True,0.82,No
3aln_1.pdb,True,0.797, True,0.845,True,0.821, True,0.878,No
3ani_1.pdb,True,0.798, True,0.563,True,0.795, True,0.765,No
3aos_1.pdb,False,0.192,False,0.0,False,0.125,False,0.013,No
3aqt_1.pdb,True,0.862, True,0.974,True,0.807, True,0.962,No
3atp_1.pdb,True,0.839, True,0.998,True,0.802, True,0.983,No
3auf_1.pdb,True,0.81, True,0.831,True,0.84, True,0.922,No
3aux_2.pdb,True,0.818, True,1.0,True,0.812, True,0.993,No
3aw8_1.pdb,True,0.863, True,0.999,True,0.868, True,0.985,No
3b39_3.pdb,False,0.449, True,0.859,True,0.509, True,0.792,No
3b4u_1.pdb,True,0.819, True,0.998,True,0.857, True,0.972,No
3b7h_1.pdb,True,0.839, True,0.991,True,0.922, True,0.963,No
3b7m_6.pdb,True,0.76, True,0.955,True,0.806, True,0.923,No
3bde_2.pdb,True,0.902, True,1.0,True,0.805, True,0.988,No
3bdl_3.pdb,True,0.688, True,1.0,True,0.789, True,0.985,No
3bif_1.pdb,False,0.152,False,0.011,False,0.184,False,0.111,No
3bjr_1.pdb,True,0.795, True,0.985,True,0.915, True,0.933,No
3bjv_1.pdb,True,0.68, True,0.925,True,0.803, True,0.911,No
3bl8_1.pdb,True,0.787, True,0.843,True,0.869, True,0.933,No
3blc_3.pdb,True,0.825, True,0.995,True,0.756, True,0.821,No
3bqa_1.pdb,True,0.765, True,0.919,True,0.689, True,0.921,No
3bs3_1.pdb,True,0.743,False,0.102,True,0.519, True,0.687,No
3bwv_1.pdb,True,0.853, True,0.999,True,0.896, True,0.969,No
3bxh_1.pdb,True,0.674, True,0.907,True,0.584, True,0.804,No
3bxx_1.pdb,True,0.635, True,0.917,True,0.609, True,0.867,No
3bxz_1.pdb,True,0.826, True,1.0,True,0.9, True,0.986,No
3by8_2.pdb,False,0.344, True,0.566,False,0.196,False,0.46,No
3c1q_1.pdb,False,0.356,False,0.097,False,0.326,False,0.442,No
3c5q_1.pdb,True,0.767, True,1.0,True,0.802, True,0.932,No
3c6b_1.pdb,True,0.767, True,0.971,True,0.72, True,0.867,No
3c8j_1.pdb,True,0.759, True,0.956,True,0.737, True,0.905,No
3c8x_2.pdb,True,0.845, True,1.0,True,0.855, True,0.948,No
3c9g_1.pdb,False,0.226,False,0.017,False,0.028,False,0.045,No
3cb2_1.pdb,True,0.829, True,0.999,True,0.793, True,0.987,No
3ccg_1.pdb,True,0.817, True,0.964,True,0.693, True,0.826,No
3ce1_1.pdb,True,0.797, True,0.782,True,0.85, True,0.73,No
3cei_1.pdb,True,0.633, True,0.871,True,0.605, True,0.747,No
3chi_1.pdb,True,0.897, True,0.998,True,0.869, True,0.981,No
3cjw_1.pdb,True,0.85, True,0.999,True,0.853, True,0.984,No
3cl3_7.pdb,True,0.845, True,0.999,True,0.866, True,0.993,No
3clk_1.pdb,True,0.869, True,0.995,True,0.832, True,0.929,No
3clv_1.pdb,True,0.705, True,0.968,True,0.721, True,0.887,No
3cnk_1.pdb,True,0.854, True,0.909,True,0.85, True,0.888,No
3cpe_5.pdb,True,0.702, True,0.996,True,0.747, True,0.931,No
3crj_1.pdb,True,0.829, True,1.0,True,0.888, True,0.988,No
3ctz_1.pdb,True,0.844, True,0.987,True,0.745, True,0.91,No
3cwc_1.pdb,True,0.839, True,0.986,True,0.818, True,0.953,No
3cwn_2.pdb,True,0.727, True,0.972,True,0.617, True,0.789,No
3cyv_1.pdb,True,0.773, True,0.991,True,0.747, True,0.957,No
3cz7_3.pdb,True,0.929, True,0.997,True,0.793, True,0.96,No
3d6r_3.pdb,True,0.692, True,0.681,True,0.732, True,0.661,No
3d7a_1.pdb,True,0.645,False,0.363,True,0.659, True,0.615,No
3d7q_2.pdb,True,0.803, True,0.899,True,0.738, True,0.86,No
3d8u_1.pdb,True,0.725, True,1.0,True,0.682, True,0.995,No
3da8_1.pdb,True,0.788, True,0.567,True,0.846, True,0.841,No
3dcj_1.pdb,False,0.294,False,0.073,False,0.24,False,0.403,No
3dd9_1.pdb,True,0.703, True,1.0,True,0.687, True,0.91,No
3ded_1.pdb,True,0.699,False,0.459,True,0.675, True,0.731,No
3dex_1.pdb,True,0.842, True,0.96,True,0.867, True,0.906,No
3dh1_1.pdb,True,0.848, True,0.998,True,0.903, True,0.99,No
3die_1.pdb,True,0.745, True,1.0,True,0.69,False,0.152,No
3dih_2.pdb,True,0.77,False,0.435,True,0.694, True,0.87,No
3dka_1.pdb,True,0.847, True,0.829,True,0.799, True,0.692,No
3dl3_1.pdb,True,0.831, True,0.987,True,0.797, True,0.929,No
3dm8_1.pdb,True,0.891, True,0.998,True,0.858, True,0.973,No
3do5_1.pdb,True,0.811, True,1.0,True,0.852, True,0.997,No
3dpt_1.pdb,True,0.772, True,0.983,True,0.845, True,0.974,No
3dqp_1.pdb,True,0.854, True,0.995,True,0.812, True,0.984,No
3dqv_12.pdb,True,0.806, True,0.99,True,0.877, True,0.963,No
3dqz_2.pdb,True,0.859, True,0.704,True,0.818, True,0.944,No
3dui_1.pdb,True,0.741, True,0.959,True,0.707, True,0.8,No
3duv_1.pdb,True,0.869, True,0.997,True,0.903, True,0.944,No
3dvf_1.pdb,True,0.745, True,0.922,True,0.747, True,0.872,No
3dvi_1.pdb,True,0.84, True,0.965,True,0.805, True,0.904,No
3dxb_16.pdb,True,0.576,False,0.198,True,0.526,False,0.386,No
3dyd_1.pdb,True,0.744, True,1.0,True,0.686, True,0.696,No
3e6d_1.pdb,True,0.716, True,1.0,True,0.698, True,0.976,No
3e7k_14.pdb,True,0.872, True,1.0,True,0.808, True,0.993,No
3e7p_1.pdb,True,0.798, True,0.988,True,0.827, True,0.937,No
3e8s_1.pdb,True,0.852, True,0.958,True,0.852, True,0.937,No
3eb8_3.pdb,True,0.861, True,1.0,True,0.821, True,0.961,No
3ec9_1.pdb,True,0.88, True,0.992,True,0.959, True,0.939,No
3eeg_1.pdb,True,0.823, True,0.969,True,0.748, True,0.9,No
3ees_1.pdb,True,0.885, True,0.999,True,0.865, True,0.957,No
3efb_1.pdb,True,0.774, True,0.954,True,0.769, True,0.801,No
3egj_2.pdb,True,0.886, True,0.995,True,0.845, True,0.908,No
3ego_1.pdb,True,0.815, True,0.998,True,0.913, True,0.994,No
3ehc_1.pdb,True,0.833, True,0.971,True,0.857, True,0.907,No
3eij_1.pdb,True,0.822, True,0.826,True,0.838, True,0.919,No
3enm_11.pdb,True,0.767, True,0.995,True,0.851, True,0.975,No
3eoq_1.pdb,True,0.892, True,0.939,True,0.837, True,0.864,No
3erj_1.pdb,True,0.876, True,0.984,True,0.855, True,0.96,No
3esf_1.pdb,True,0.652, True,0.722,True,0.65, True,0.739,No
3eul_6.pdb,True,0.85, True,0.983,True,0.884, True,0.939,No
3eus_1.pdb,True,0.864, True,1.0,True,0.913, True,0.998,No
3ewb_1.pdb,True,0.769, True,0.901,True,0.651, True,0.837,No
3ez9_2.pdb,True,0.839, True,1.0,True,0.798, True,0.998,No
3f14_1.pdb,True,0.813, True,0.823,True,0.759, True,0.747,No
3f3y_2.pdb,False,0.113,False,0.226,False,0.021,False,0.376,No
3f4k_1.pdb,True,0.813, True,0.944,True,0.759, True,0.906,No
3f8h_1.pdb,True,0.852, True,0.974,True,0.841, True,0.852,No
3f9s_1.pdb,True,0.85, True,0.993,True,0.812, True,0.913,No
3fb3_1.pdb,True,0.787, True,1.0,True,0.739, True,0.796,No
3fbt_2.pdb,True,0.904, True,0.968,True,0.845, True,0.931,No
3fbu_1.pdb,True,0.762, True,0.978,True,0.725, True,0.945,No
3fcx_1.pdb,False,0.09,False,0.041,False,0.003,False,0.189,No
3fdg_1.pdb,True,0.877, True,0.996,True,0.875, True,0.978,No
3fe1_7.pdb,False,0.46,False,0.084,False,0.219,False,0.457,No
3ffn_1.pdb,True,0.551,False,0.459,False,0.483, True,0.744,No
3fg3_1.pdb,True,0.638,False,0.25,False,0.418, True,0.659,No
3fg6_42.pdb,False,0.466,False,0.351,False,0.198, True,0.605,No
3fh0_1.pdb,False,0.3,False,0.002,False,0.175,False,0.026,No
3fjo_2.pdb,True,0.691, True,0.966,True,0.64, True,0.893,No
3frl_1.pdb,True,0.752, True,0.972,True,0.827, True,0.917,No
3frs_2.pdb,True,0.872, True,0.872,True,0.828, True,0.925,No
3ftj_3.pdb,True,0.649,False,0.279,False,0.448,False,0.063,No
3ftj_5.pdb,True,0.881, True,0.926,True,0.785, True,0.905,No
3g0f_1.pdb,True,0.749, True,0.993,True,0.73, True,0.632,No
3g0k_1.pdb,True,0.794, True,0.999,True,0.81, True,0.823,No
3g13_1.pdb,True,0.864, True,0.999,True,0.902, True,0.986,No
3g17_2.pdb,True,0.872, True,0.999,True,0.858, True,0.983,No
3g45_1.pdb,True,0.5,False,0.003,False,0.388,False,0.262,No
3g48_2.pdb,False,0.204,False,0.03,False,0.085,False,0.148,No
3g7p_1.pdb,True,0.757, True,0.954,True,0.804, True,0.837,No
3gff_1.pdb,True,0.768, True,0.976,True,0.707, True,0.915,No
3ghy_3.pdb,True,0.906, True,1.0,True,0.937, True,0.995,No
3glv_1.pdb,True,0.821, True,0.974,True,0.838, True,0.96,No
3gor_1.pdb,True,0.852, True,0.944,True,0.851, True,0.904,No
3grl_1.pdb,True,0.743, True,0.992,True,0.838, True,0.993,No
3gty_7.pdb,True,0.819, True,0.906,True,0.847, True,0.829,No
3gw2_1.pdb,True,0.819, True,1.0,True,0.853, True,1.0,No
3gz1_1.pdb,True,0.763, True,1.0,True,0.841, True,0.971,No
3h1s_1.pdb,True,0.706, True,0.95,True,0.717, True,0.862,No
3h2d_1.pdb,True,0.736, True,0.988,True,0.747, True,0.899,No
3h7l_3.pdb,True,0.539,False,0.254,False,0.227, True,0.523,No
3hde_2.pdb,True,0.773, True,0.922,True,0.694, True,0.839,No
3hdv_3.pdb,True,0.715, True,0.832,True,0.538, True,0.772,No
3hf7_2.pdb,True,0.84, True,0.996,True,0.885, True,0.948,No
3hgv_3.pdb,True,0.513,False,0.441,False,0.374, True,0.639,No
3hh7_1.pdb,True,0.803,False,0.18,True,0.837, True,0.661,No
3hha_4.pdb,False,0.271,False,0.016,False,0.265,False,0.395,No
3hhv_1.pdb,True,0.82, True,0.798,True,0.639, True,0.817,No
3hie_3.pdb,True,0.782, True,1.0,True,0.659, True,0.619,No
3hj6_1.pdb,True,0.87, True,0.95,True,0.859, True,0.912,No
3hjg_1.pdb,True,0.773, True,0.924,True,0.815, True,0.872,No
3hjp_1.pdb,True,0.848, True,1.0,True,0.898, True,0.99,No
3hm7_2.pdb,True,0.85, True,0.928,True,0.821, True,0.964,No
3hmk_1.pdb,True,0.716, True,0.791,True,0.671, True,0.909,No
3hn2_1.pdb,True,0.715, True,0.636,True,0.664, True,0.841,No
3hna_3.pdb,False,0.465,False,0.36,False,0.194,False,0.424,No
3hpn_1.pdb,True,0.816, True,0.929,True,0.799, True,0.808,No
3hq2_1.pdb,True,0.846, True,0.998,True,0.929, True,0.983,No
3hqx_1.pdb,True,0.889, True,0.997,True,0.968, True,0.977,No
3hru_1.pdb,True,0.846, True,0.999,True,0.918, True,0.973,No
3htv_1.pdb,True,0.823, True,0.999,True,0.786, True,0.972,No
3hv2_1.pdb,True,0.826, True,0.992,True,0.923, True,0.925,No
3hx8_2.pdb,True,0.912, True,0.993,True,0.816, True,0.9,No
3hy1_5.pdb,True,0.674,False,0.005,True,0.535,False,0.092,No
3hy8_1.pdb,True,0.778, True,1.0,True,0.812, True,0.971,No
3hyq_2.pdb,True,0.642, True,0.841,True,0.691, True,0.736,No
3hz4_1.pdb,True,0.799, True,0.904,True,0.866, True,0.861,No
3hzu_1.pdb,True,0.861, True,0.797,True,0.724, True,0.909,No
3i83_1.pdb,True,0.85, True,1.0,True,0.913, True,0.997,No
