pdb-id,F_Voronota_glob_light_score,F_Voronota_glob_dark_score,F_Voronota_glob_area,F_Voronota_glob_area_per_atom,F_Voronota_glob_nonprotein_area,F_Voronota_glob_volume,F_Voronota_glob_volume_per_atom,F_Voronota_glob_energy,F_Voronota_glob_energy_norm,F_Voronota_glob_energy_per_atom,F_Voronota_glob_sas_area,F_Voronota_glob_sas_area_per_atom,F_Voronota_glob_sas_energy,F_Voronota_glob_sas_energy_norm,F_Voronota_glob_sas_energy_per_atom,F_Voronota_glob_nonsas_area,F_Voronota_glob_nonsas_area_per_atom,F_Voronota_glob_nonsas_energy,F_Voronota_glob_nonsas_energy_norm,F_Voronota_glob_nonsas_energy_per_atom,F_Voronota_iface_atoms,F_Voronota_iface_atoms_light_score,F_Voronota_iface_area,F_Voronota_iface_energy,F_Voronota_iface_energy_norm,F_Voronota_iface_energy_per_atom,F_Voronota_iface_shelled_energy,F_Voronota_iface_shelled_energy_norm,F_Voronota_iface_shelled_energy_per_atom,F_Voronota_iface_expanded_area,F_Voronota_iface_expanded_energy,F_Voronota_iface_expanded_energy_norm,F_Voronota_iface_expanded_energy_per_atom,F_Voronota_iface_expanded_shelled_energy,F_Voronota_iface_expanded_shelled_energy_norm,F_Voronota_iface_expanded_shelled_energy_per_atom,F_Voronota_split_light_score,F_Voronota_split_dark_score,F_Voronota_split_area,F_Voronota_split_area_per_atom,F_Voronota_split_volume,F_Voronota_split_volume_per_atom,F_Voronota_split_energy,F_Voronota_split_energy_norm,F_Voronota_split_energy_per_atom,F_Voronota_split_sas_area,F_Voronota_split_sas_area_per_atom,F_Voronota_split_sas_energy,F_Voronota_split_sas_energy_norm,F_Voronota_split_sas_energy_per_atom,F_Voronota_split_nonsas_area,F_Voronota_split_nonsas_area_per_atom,F_Voronota_split_nonsas_energy,F_Voronota_split_nonsas_energy_norm,F_Voronota_split_nonsas_energy_per_atom,F_Voronota_diff_glob_light_score,F_Voronota_diff_glob_dark_score,F_Voronota_diff_glob_area,F_Voronota_diff_glob_area_per_atom,F_Voronota_diff_glob_energy,F_Voronota_diff_glob_energy_norm,F_Voronota_diff_glob_energy_per_atom,F_Voronota_diff_glob_volume,F_Voronota_diff_glob_volume_per_atom,F_Voronota_diff_sas_area,F_Voronota_diff_sas_area_per_atom,F_Voronota_diff_sas_energy,F_Voronota_diff_sas_energy_norm,F_Voronota_diff_sas_energy_per_atom,F_Voronota_diff_nonsas_area,F_Voronota_diff_nonsas_area_per_atom,F_Voronota_diff_nonsas_energy,F_Voronota_diff_nonsas_energy_norm,F_Voronota_diff_nonsas_energy_per_atom,Training
1u07_1,0.4748,0.65267,18479.8,12.64008,0,35994.3,24.6199,-3787.42,-0.20495,-2.59057,10061.9,6.88228,-607.978,-0.06042,-0.41585,8417.9,5.7578,-3179.442,-0.3777,-2.17472,305,0.50783,1185.39,-391.948,-0.33065,-0.26809,-397.946,-0.33571,-0.27219,2941.12,-573.589,-0.19502,-0.39233,-698.175,-0.23738,-0.47755,0.42788,0.60601,19975.3,13.663,38187.1,26.11977,-3039.47,-0.15216,-2.07898,12457.6,8.52093,-177.486,-0.01425,-0.1214,7517.7,5.14207,-2861.984,-0.3807,-1.95758,0.04692,0.04666,-1495.5,-1.02291,-747.95,-0.05279,-0.51159,-2192.8,-1.49986,-2395.7,-1.63865,-430.492,-0.04618,-0.29445,900.2,0.61573,-317.458,0.003,-0.21714,0
1u20_1,0.53156,0.67749,37451.1,12.33161,0,74386.3,24.49335,-9157.46,-0.24452,-3.0153,17977.9,5.91962,-1157.84,-0.0644,-0.38124,19473.2,6.41199,-7999.62,-0.4108,-2.63405,329,0.56996,1340.1,-801.673,-0.59822,-0.26397,-807.157,-0.60231,-0.26577,2500.83,-486.257,-0.19444,-0.16011,-907.119,-0.36273,-0.29869,0.48318,0.65608,39288.8,12.93671,76762.2,25.27567,-7728.31,-0.19671,-2.54472,20722.4,6.82331,-294.32,-0.0142,-0.09691,18566.4,6.1134,-7433.99,-0.4004,-2.44781,0.04838,0.02141,-1837.7,-0.6051,-1429.15,-0.04781,-0.47058,-2375.9,-0.78232,-2744.5,-0.90369,-863.52,-0.0502,-0.28433,906.8,0.29858,-565.63,-0.0104,-0.18625,0
1u2j_24,0.4616,0.63684,54185,11.95082,0,107535,23.71747,-9768.8,-0.18029,-2.15457,24532,5.41067,920.443,0.03752,0.20301,29653,6.54014,-10689.243,-0.36048,-2.35757,270,0.34,1061.28,-345.189,-0.32526,-0.07613,-369.436,-0.3481,-0.08148,2660.99,51.533,0.01937,0.01137,-279.563,-0.10506,-0.06166,0.4525,0.63248,55581.8,12.25889,109209,24.08668,-9034.39,-0.16254,-1.99259,26753.8,5.90071,1389.88,0.05195,0.30655,28828,6.35818,-10424.27,-0.3616,-2.29913,0.0091,0.00436,-1396.8,-0.30807,-734.41,-0.01774,-0.16198,-1674,-0.36921,-2221.8,-0.49003,-469.437,-0.01443,-0.10354,825,0.18196,-264.973,0.00112,-0.05844,0
1u3z_1,0.55931,0.70018,20754.5,12.35387,0,41379.8,24.63083,-5219.01,-0.25146,-3.10655,11052,6.57857,-902.467,-0.08166,-0.53718,9702.5,5.7753,-4316.543,-0.44489,-2.56937,164,0.67015,640.863,-460.949,-0.71926,-0.27437,-469.375,-0.73241,-0.27939,1472.65,-574.145,-0.38987,-0.34175,-745.465,-0.50621,-0.44373,0.51421,0.67212,21614.7,12.86589,42509.7,25.30339,-4627.54,-0.21409,-2.75449,12343,7.34702,-651.736,-0.0528,-0.38794,9271.7,5.51887,-3975.804,-0.42881,-2.36655,0.04511,0.02806,-860.2,-0.51202,-591.47,-0.03737,-0.35207,-1129.9,-0.67256,-1291,-0.76845,-250.731,-0.02885,-0.14924,430.8,0.25643,-340.739,-0.01608,-0.20282,0
1u4m_1,0.53897,0.67385,13641.5,13.15477,0,26490,25.54484,-2881.79,-0.21125,-2.77897,7842.8,7.56297,94.0743,0.01199,0.09072,5798.7,5.5918,-2975.8643,-0.5132,-2.86969,213,0.61632,748.987,-266.86,-0.35629,-0.25734,-277.191,-0.37009,-0.2673,1898.26,-187.061,-0.09854,-0.18039,-355.534,-0.18729,-0.34285,0.47597,0.61135,14616.9,14.09537,27834.4,26.84127,-2275.94,-0.15571,-2.19473,9384.32,9.04949,607.603,0.06475,0.58592,5232.58,5.04588,-2883.543,-0.55107,-2.78066,0.063,0.0625,-975.4,-0.9406,-605.85,-0.05555,-0.58423,-1344.4,-1.29643,-1541.52,-1.48652,-513.5287,-0.05275,-0.49521,566.12,0.54592,-92.3213,0.03788,-0.08903,0
1uat_2,0.60196,0.72507,23923.9,12.37017,0,47870.8,24.75222,-6530.24,-0.27296,-3.37655,12205.8,6.31117,-707.038,-0.05793,-0.36558,11718.1,6.059,-5823.202,-0.49694,-3.01096,132,0.50844,571.698,-320.456,-0.56053,-0.1657,-320.904,-0.56132,-0.16593,1595.93,-348.232,-0.2182,-0.18006,-498.186,-0.31216,-0.25759,0.57457,0.71679,24671.2,12.75657,48707.2,25.18469,-6176.82,-0.25037,-3.19381,13416.4,6.93713,-583.151,-0.04347,-0.30153,11254.8,5.81944,-5593.669,-0.497,-2.89228,0.02739,0.00828,-747.3,-0.3864,-353.42,-0.02259,-0.18274,-836.4,-0.43247,-1210.6,-0.62596,-123.887,-0.01446,-0.06406,463.3,0.23956,-229.533,6e-05,-0.11868,0
1ud0_7,0.30806,0.52262,18796.8,13.99613,0,35193,26.20477,-2607.86,-0.13874,-1.94182,10858.8,8.08548,-1303.88,-0.12008,-0.97087,7938,5.91065,-1303.98,-0.16427,-0.97095,447,0.3804,1879.7,-979.172,-0.52092,-0.72909,-1024.99,-0.54529,-0.76321,4512.41,-1128.85,-0.25017,-0.84054,-1579.84,-0.35011,-1.17635,0.14987,0.47798,21315.9,15.87185,38206,28.44825,-717.542,-0.03366,-0.53428,14741.4,10.97647,-159.169,-0.0108,-0.11852,6574.5,4.89538,-558.373,-0.08493,-0.41577,0.15819,0.04463,-2519.1,-1.87573,-1890.318,-0.10508,-1.40753,-3013,-2.24348,-3882.6,-2.89099,-1144.711,-0.10928,-0.85235,1363.5,1.01526,-745.607,-0.07934,-0.55518,0
1udv_1,0.50782,0.66848,18406,13.07244,0,35989.8,25.56094,-3657.65,-0.19872,-2.59776,10153.7,7.21143,-38.5722,-0.0038,-0.0274,8252.3,5.86101,-3619.0778,-0.43855,-2.57037,147,0.66451,612.049,-377,-0.61596,-0.26776,-394.477,-0.64452,-0.28017,1352.21,-458.581,-0.33913,-0.3257,-619.023,-0.45779,-0.43965,0.45659,0.63763,19257.9,13.67749,37028.7,26.29879,-3320.38,-0.17242,-2.35822,11414.9,8.10717,55.4198,0.00486,0.03936,7843,5.57031,-3375.7998,-0.43042,-2.39759,0.05123,0.03085,-851.9,-0.60504,-337.27,-0.0263,-0.23954,-1038.9,-0.73786,-1261.2,-0.89574,-93.992,-0.00865,-0.06676,409.3,0.2907,-243.278,-0.00813,-0.17278,0
1uer_2,0.55198,0.68866,35532.1,11.64223,0,70966.6,23.25249,-9283.81,-0.26128,-3.04188,15921.6,5.21678,-1204.03,-0.07562,-0.39451,19610.5,6.42546,-8079.78,-0.41201,-2.64737,237,0.52614,897.895,-493.93,-0.5501,-0.16184,-497.252,-0.5538,-0.16293,1835.86,-519.861,-0.28317,-0.17033,-703.552,-0.38323,-0.23052,0.53035,0.67193,36709.4,12.02798,72521.2,23.76186,-8581.69,-0.23377,-2.81183,17753.4,5.81697,-850.842,-0.04793,-0.27878,18956,6.21101,-7730.848,-0.40783,-2.53304,0.02162,0.01674,-1177.3,-0.38575,-702.12,-0.02751,-0.23005,-1554.6,-0.50937,-1831.8,-0.6002,-353.188,-0.0277,-0.11572,654.5,0.21445,-348.932,-0.00418,-0.11433,0
1ujk_3,0.49107,0.65631,30530,12.77406,0,58884,24.63766,-6434.68,-0.21077,-2.69233,15232.6,6.37347,-872.33,-0.05727,-0.36499,15297.4,6.40059,-5562.35,-0.36361,-2.32734,331,0.38236,1380.82,-573.639,-0.41543,-0.24002,-607.572,-0.44001,-0.25421,3704.3,-592.948,-0.16007,-0.2481,-928.667,-0.2507,-0.38856,0.47721,0.62435,32306.8,13.51749,61304.3,25.65033,-5380.62,-0.16655,-2.25131,18082.5,7.5659,-329.641,-0.01823,-0.13793,14224.3,5.95159,-5050.979,-0.3551,-2.11338,0.01386,0.03196,-1776.8,-0.74343,-1054.06,-0.04422,-0.44103,-2420.3,-1.01268,-2849.9,-1.19243,-542.689,-0.03904,-0.22707,1073.1,0.449,-511.371,-0.00852,-0.21396,0
1ujn_1,0.61534,0.73946,61285.5,11.96982,0,122970,24.01758,-17703.3,-0.28887,-3.45768,27040.4,5.28133,-987.249,-0.03651,-0.19282,34245.1,6.6885,-16716.051,-0.48813,-3.26485,245,0.57621,973.259,-417.688,-0.42916,-0.08158,-464.273,-0.47703,-0.09068,2143.27,-506.077,-0.23612,-0.09884,-706.784,-0.32977,-0.13804,0.59971,0.73366,62583.6,12.22336,124618,24.33945,-16962.9,-0.27104,-3.31307,29045.3,5.67291,-500.569,-0.01723,-0.09777,33538.3,6.55045,-16462.331,-0.49085,-3.2153,0.01563,0.00579,-1298.1,-0.25354,-740.4,-0.01782,-0.14461,-1648,-0.32187,-2004.9,-0.39158,-486.68,-0.01928,-0.09505,706.8,0.13805,-253.72,0.00272,-0.04955,0
1ukg_1,0.58347,0.69971,42246.1,11.44571,0,86168.2,23.34549,-12486,-0.29555,-3.38282,18657.3,5.05481,-178.303,-0.00956,-0.04831,23588.8,6.3909,-12307.697,-0.52176,-3.33452,189,0.69221,731.347,-239.271,-0.32716,-0.06483,-253.776,-0.347,-0.06876,1682.95,-352.948,-0.20972,-0.09562,-422.096,-0.25081,-0.11436,0.57449,0.70029,43176,11.69764,87342,23.66351,-12193,-0.2824,-3.30344,20210.6,5.47564,-39.6005,-0.00196,-0.01073,22965.4,6.222,-12153.3995,-0.5292,-3.29271,0.00898,-0.00058,-929.9,-0.25194,-293,-0.01315,-0.07938,-1173.8,-0.31802,-1553.3,-0.42083,-138.7025,-0.0076,-0.03758,623.4,0.1689,-154.2975,0.00744,-0.0418,0
1uou_1,0.5317,0.72004,75851.1,11.89635,0,152624,23.93726,-17129.9,-0.22584,-2.68662,32229.4,5.0548,259.696,0.00806,0.04073,43621.7,6.84155,-17389.596,-0.39865,-2.72735,206,0.55669,870.973,-416.563,-0.47827,-0.06533,-425.351,-0.48836,-0.06671,1852.24,-592.087,-0.31966,-0.09286,-716.429,-0.38679,-0.11236,0.51769,0.71076,77015.6,12.07898,154157,24.1777,-16499,-0.21423,-2.58767,33936.7,5.32257,598.5,0.01764,0.09387,43078.9,6.75641,-17097.5,-0.39689,-2.68154,0.01401,0.00928,-1164.5,-0.18264,-630.9,-0.01161,-0.09895,-1533,-0.24043,-1707.3,-0.26777,-338.804,-0.00958,-0.05314,542.8,0.08513,-292.096,-0.00176,-0.04581,0
1usm_1,0.54745,0.71438,16024.1,12.40255,0,30998.8,23.99288,-3855.57,-0.24061,-2.98419,8041.65,6.22419,-229.95,-0.02859,-0.17798,7982.45,6.17837,-3625.62,-0.4542,-2.80621,168,0.73321,675.659,-439.928,-0.65111,-0.3405,-461.15,-0.68252,-0.35693,1462.27,-515.588,-0.35259,-0.39906,-712.535,-0.48728,-0.5515,0.46422,0.66759,16916.4,13.09319,32105.6,24.84954,-3152.34,-0.18635,-2.43989,9431.45,7.29988,127.133,0.01348,0.0984,7484.95,5.7933,-3279.473,-0.43814,-2.53829,0.08323,0.04679,-892.3,-0.69063,-703.23,-0.05426,-0.5443,-1106.8,-0.85666,-1389.8,-1.0757,-357.083,-0.04207,-0.27638,497.5,0.38506,-346.147,-0.01606,-0.26792,0
1uvz_3,0.56325,0.69406,21348.1,12.61708,0.35555,42176.9,24.92725,-5499.25,-0.2576,-3.25015,10860.2,6.41856,-1087.23,-0.10011,-0.64257,10487.9,6.19852,-4412.02,-0.42068,-2.60758,137,0.56805,496.63,-170.814,-0.34395,-0.10095,-185.745,-0.37401,-0.10978,1174.85,-23.531,-0.02003,-0.01391,-174.284,-0.14835,-0.103,0.53282,0.67861,21989.2,12.99598,43014.1,25.42204,-4962.48,-0.22568,-2.93291,11877.6,7.01986,-664.927,-0.05598,-0.39298,10111.6,5.97612,-4297.553,-0.42501,-2.53992,0.03043,0.01546,-641.1,-0.3789,-536.77,-0.03192,-0.31724,-837.2,-0.4948,-1017.4,-0.6013,-422.303,-0.04413,-0.24959,376.3,0.2224,-114.467,0.00434,-0.06765,0
1v2a_1,0.55152,0.68197,40638,12.04803,0,80439.8,23.84815,-10429.7,-0.25665,-3.09211,18821.7,5.58011,-889.607,-0.04726,-0.26374,21816.3,6.46792,-9540.093,-0.43729,-2.82837,323,0.57289,1288.31,-592.238,-0.4597,-0.17558,-617.511,-0.47932,-0.18307,2489.92,-769.351,-0.30899,-0.22809,-939.615,-0.37737,-0.27857,0.52328,0.65277,42373.3,12.5625,82543.6,24.47186,-9839.68,-0.23221,-2.91719,21498.9,6.37382,-705.74,-0.03283,-0.20923,20874.4,6.18867,-9133.94,-0.43757,-2.70796,0.02824,0.0292,-1735.3,-0.51447,-590.02,-0.02443,-0.17492,-2103.8,-0.62372,-2677.2,-0.79371,-183.867,-0.01444,-0.05451,941.9,0.27925,-406.153,0.00027,-0.12041,0
1v2z_1,0.51243,0.63821,23652.4,13.46948,0,44982,25.61617,-4785.51,-0.20233,-2.72523,12715.3,7.24106,200.843,0.0158,0.11438,10937.1,6.22842,-4986.353,-0.45591,-2.83961,212,0.71405,850.457,-648.627,-0.76268,-0.36938,-686.057,-0.80669,-0.39069,1816.97,-518.941,-0.28561,-0.29552,-882.755,-0.48584,-0.50271,0.4366,0.58423,24766.5,14.10393,46459.4,26.45752,-3792.35,-0.15312,-2.15965,14448.4,8.22802,716.124,0.04956,0.40782,10318.1,5.87591,-4508.474,-0.43695,-2.56747,0.07584,0.05398,-1114.1,-0.63445,-993.16,-0.0492,-0.56558,-1477.4,-0.84134,-1733.1,-0.98696,-515.281,-0.03377,-0.29344,619,0.35251,-477.879,-0.01896,-0.27214,0
1v4t_4,0.54093,0.67739,80907.3,12.16651,0,161127,24.22962,-20666.1,-0.25543,-3.10768,37952.1,5.70708,-3104.91,-0.08181,-0.4669,42955.2,6.45943,-17561.19,-0.40883,-2.64078,279,0.42068,981.358,-391.334,-0.39877,-0.05885,-425.032,-0.43311,-0.06391,3203.74,-378.038,-0.118,-0.05685,-613.029,-0.19135,-0.09218,0.53365,0.67471,82191.5,12.35962,162529,24.44045,-19991.6,-0.24323,-3.00626,40083.2,6.02755,-2746.19,-0.06851,-0.41296,42108.3,6.33208,-17245.41,-0.40955,-2.59329,0.00728,0.00268,-1284.2,-0.19311,-674.5,-0.0122,-0.10143,-1402,-0.21083,-2131.1,-0.32047,-358.72,-0.0133,-0.05394,846.9,0.12735,-315.78,0.00072,-0.04749,0
1v4v_1,0.50967,0.66539,68698.9,12.33373,0,136464,24.49982,-16471.3,-0.23976,-2.95715,32469.5,5.82935,-1393.44,-0.04292,-0.25017,36229.4,6.50438,-15077.86,-0.41618,-2.70698,293,0.62698,1242.51,-940.456,-0.7569,-0.16884,-1037.09,-0.83467,-0.18619,2476.2,-938.908,-0.37917,-0.16857,-1456.96,-0.58839,-0.26157,0.47652,0.64809,70358,12.6316,138609,24.88492,-14999.8,-0.21319,-2.69296,34944.7,6.27373,-553.016,-0.01583,-0.09928,35413.3,6.35786,-14446.784,-0.40795,-2.59368,0.03315,0.01731,-1659.1,-0.29786,-1471.5,-0.02657,-0.26418,-2145,-0.3851,-2475.2,-0.44438,-840.424,-0.02709,-0.15088,816.1,0.14652,-631.076,-0.00823,-0.1133,0
1v98_2,0.60818,0.70379,17796.8,12.76671,0,35287.4,25.31377,-4975.19,-0.27956,-3.569,9275.03,6.65354,-40.1045,-0.00432,-0.02877,8521.77,6.11318,-4935.0855,-0.57912,-3.54023,142,0.67413,554.936,-254.776,-0.45911,-0.18277,-262.556,-0.47313,-0.18835,1486.89,-255.077,-0.17155,-0.18298,-372.732,-0.25068,-0.26738,0.58568,0.69378,18500.1,13.27123,36152.5,25.93436,-4585.98,-0.24789,-3.2898,10471.4,7.51176,131.116,0.01252,0.09406,8028.7,5.75947,-4717.096,-0.58753,-3.38386,0.0225,0.01001,-703.3,-0.50452,-389.21,-0.03167,-0.2792,-865.1,-0.62059,-1196.37,-0.85823,-171.2205,-0.01685,-0.12283,493.07,0.35371,-217.9895,0.00841,-0.15638,0
1vez_2,0.49496,0.67077,32944.2,12.08518,0,65263.9,23.94127,-7511.68,-0.22801,-2.75557,15835.4,5.80902,-1004.87,-0.06346,-0.36862,17108.8,6.27616,-6506.81,-0.38032,-2.38694,214,0.59454,778.503,-345.834,-0.44423,-0.12687,-377.784,-0.48527,-0.13859,1914.59,-529.079,-0.27634,-0.19409,-669.547,-0.34971,-0.24562,0.46323,0.6475,33938.1,12.44978,66554.6,24.41475,-6932.98,-0.20428,-2.54328,17422.7,6.39131,-629.045,-0.0361,-0.23076,16515.4,6.05847,-6303.935,-0.3817,-2.31252,0.03174,0.02327,-993.9,-0.3646,-578.7,-0.02373,-0.21229,-1290.7,-0.47348,-1587.3,-0.58228,-375.825,-0.02735,-0.13787,593.4,0.21768,-202.875,0.00138,-0.07442,0
1vg9_2,0.56585,0.68399,93979.1,11.78717,0,190916,23.94532,-24367.2,-0.25928,-3.05621,42948.6,5.38676,-801.753,-0.01867,-0.10056,51030.5,6.40041,-23565.447,-0.46179,-2.95566,275,0.43424,1055.78,-474.463,-0.4494,-0.05951,-523.98,-0.4963,-0.06572,2873.49,-515.611,-0.17944,-0.06467,-820.946,-0.2857,-0.10297,0.56026,0.68108,95345.1,11.9585,192608,24.15753,-23627.7,-0.24781,-2.96346,45129.2,5.66025,-376.166,-0.00834,-0.04718,50215.9,6.29824,-23251.534,-0.46303,-2.91628,0.00559,0.00291,-1366,-0.17133,-739.5,-0.01147,-0.09275,-1692,-0.21222,-2180.6,-0.2735,-425.587,-0.01033,-0.05338,814.6,0.10217,-313.913,0.00124,-0.03937,0
1vh0_8,0.5735,0.69167,31219.3,12.38861,0,61933,24.57659,-8756.91,-0.2805,-3.47496,15113.1,5.99726,-1574.18,-0.10416,-0.62467,16106.2,6.39135,-7182.73,-0.44596,-2.85029,314,0.64846,1241,-670.615,-0.54038,-0.26612,-754.15,-0.6077,-0.29927,2765.27,-1151.01,-0.41624,-0.45675,-1401.52,-0.50683,-0.55616,0.52006,0.6637,32882.3,13.04853,64116.3,25.44298,-7857.32,-0.23895,-3.11798,17628.9,6.9956,-1087.23,-0.06167,-0.43144,15253.4,6.05294,-6770.09,-0.44384,-2.68654,0.05344,0.02798,-1663,-0.65992,-899.59,-0.04154,-0.35698,-2183.3,-0.86639,-2515.8,-0.99833,-486.95,-0.04249,-0.19323,852.8,0.33841,-412.64,-0.00212,-0.16375,0
1vic_7,0.53844,0.70335,48330.5,12.13115,0,96291.1,24.16945,-11146,-0.23062,-2.79769,22877.7,5.74239,-24.7747,-0.00108,-0.00622,25452.8,6.38876,-11121.2253,-0.43694,-2.79147,288,0.35174,1148.71,-242.803,-0.21137,-0.06094,-245.457,-0.21368,-0.06161,3214.14,-477.616,-0.1486,-0.11988,-537.83,-0.16733,-0.135,0.52714,0.70079,49858.2,12.51461,98132.6,24.63168,-11016.9,-0.22096,-2.76529,25315.7,6.35434,-89.8541,-0.00355,-0.02255,24542.5,6.16027,-10927.0459,-0.44523,-2.74273,0.0113,0.00256,-1527.7,-0.38346,-129.1,-0.00966,-0.0324,-1841.5,-0.46222,-2438,-0.61195,65.0794,0.00247,0.01634,910.3,0.22849,-194.1794,0.00829,-0.04874,0
1vok_6,0.52201,0.66671,37898.4,12.55746,0,74671.1,24.74192,-8182.75,-0.21591,-2.71132,19273.4,6.38615,131.842,0.00684,0.04369,18625,6.17131,-8314.592,-0.44642,-2.755,278,0.3631,1022.79,-122.011,-0.11929,-0.04043,-131.003,-0.12808,-0.04341,2819.34,-423.752,-0.1503,-0.14041,-400.112,-0.14192,-0.13258,0.51938,0.6716,39257.8,13.00789,76408,25.31743,-8195.15,-0.20875,-2.71542,21459.1,7.11037,22.0493,0.00103,0.00731,17798.7,5.89751,-8217.1993,-0.46167,-2.72273,0.00263,-0.00489,-1359.4,-0.45043,12.4,-0.00716,0.00411,-1736.9,-0.57551,-2185.7,-0.72422,109.7927,0.00581,0.03638,826.3,0.27379,-97.3927,0.01525,-0.03227,0
1vpl_1,0.55312,0.69896,45322,12.25581,0,89620.4,24.23483,-11184,-0.24677,-3.02434,21348.6,5.77301,-1467.14,-0.06872,-0.39674,23973.4,6.4828,-9716.86,-0.40532,-2.6276,172,0.3975,707.524,-12.9083,-0.01824,-0.00349,-55.6736,-0.07869,-0.01506,1846.67,-191.895,-0.10391,-0.05189,-181.074,-0.09805,-0.04897,0.55356,0.70222,46263.9,12.51052,90735.1,24.53626,-11428.9,-0.24704,-3.09056,22849.2,6.1788,-1654.21,-0.0724,-0.44733,23414.7,6.33172,-9774.69,-0.41746,-2.64324,-0.00044,-0.00327,-941.9,-0.25471,244.9,0.00027,0.06622,-1114.7,-0.30143,-1500.6,-0.40579,187.07,0.00367,0.05059,558.7,0.15108,57.83,0.01214,0.01564,0
1vqu_1,0.52276,0.70103,58057.7,12.20212,0,115064,24.18327,-12222.2,-0.21052,-2.56877,25894.3,5.44227,821.325,0.03172,0.17262,32163.4,6.75986,-13043.525,-0.40554,-2.74139,237,0.57039,935.416,-533.221,-0.57004,-0.11207,-542.982,-0.58047,-0.11412,2072.52,-456.958,-0.22048,-0.09604,-741.944,-0.35799,-0.15594,0.50319,0.68737,59304,12.46406,116721,24.53153,-11232.4,-0.1894,-2.36074,27756.5,5.83365,1470.57,0.05298,0.30907,31547.5,6.63041,-12702.97,-0.40266,-2.66981,0.01957,0.01366,-1246.3,-0.26194,-989.8,-0.02111,-0.20803,-1657,-0.34826,-1862.2,-0.39138,-649.245,-0.02126,-0.13645,615.9,0.12945,-340.555,-0.00288,-0.07158,0
1vr0_1,0.52762,0.69823,43445.5,12.25197,0,86195.8,24.3079,-11049.6,-0.25433,-3.11607,19619.1,5.53274,-1996.81,-0.10178,-0.56312,23826.4,6.71923,-9052.79,-0.37995,-2.55296,222,0.57288,928.402,-482.783,-0.52002,-0.13615,-511.458,-0.5509,-0.14424,2164.86,-676.514,-0.3125,-0.19078,-851.494,-0.39333,-0.24013,0.50415,0.68612,44668,12.59673,87565.6,24.69419,-10548.2,-0.23615,-2.97468,21563.1,6.08096,-1842.11,-0.08543,-0.51949,23104.9,6.51576,-8706.09,-0.37681,-2.45519,0.02347,0.01211,-1222.5,-0.34475,-501.4,-0.01819,-0.1414,-1369.8,-0.38629,-1944,-0.54822,-154.7,-0.01635,-0.04363,721.5,0.20347,-346.7,-0.00314,-0.09777,0
1wac_4,0.51322,0.6594,118986,11.37316,0,239587,22.90069,-28815.1,-0.24217,-2.75426,50006.8,4.77985,-1834.23,-0.03668,-0.17532,68979.2,6.59331,-26980.87,-0.39115,-2.57894,273,0.3027,1083.2,43.4136,0.04008,0.00415,38.6314,0.03566,0.00369,3324.77,-321.858,-0.09681,-0.03076,-181.742,-0.05466,-0.01737,0.51515,0.66737,120431,11.51128,241190,23.05391,-29350.4,-0.24371,-2.80543,52362.8,5.00505,-2295.92,-0.04385,-0.21945,68068.2,6.50623,-27054.48,-0.39746,-2.58598,-0.00193,-0.00797,-1445,-0.13812,535.3,0.00154,0.05117,-1603,-0.15322,-2356,-0.2252,461.69,0.00717,0.04413,911,0.08708,73.61,0.00632,0.00704,0
1wlg_3,0.47586,0.65319,52714.4,12.22505,0,105101,24.37407,-9655.42,-0.18316,-2.2392,26624.9,6.17461,536.336,0.02014,0.12438,26089.5,6.05044,-10191.756,-0.39065,-2.36358,320,0.36466,1133.39,-84.0159,-0.07413,-0.01948,-81.5191,-0.07193,-0.01891,2812.45,-328.663,-0.11686,-0.07622,-271.973,-0.0967,-0.06307,0.47606,0.66216,54190.1,12.56728,106792,24.76623,-9614.37,-0.17742,-2.22968,29034.3,6.73337,511.78,0.01763,0.11869,25155.8,5.83391,-10126.15,-0.40254,-2.34837,-2e-04,-0.00897,-1475.7,-0.34223,-41.05,-0.00575,-0.00952,-1691,-0.39216,-2409.4,-0.55877,24.556,0.00252,0.00569,933.7,0.21654,-65.606,0.01189,-0.01521,0
1wn2_1,0.57471,0.70798,23065.8,12.5494,0,45304.1,24.64859,-5928.24,-0.25701,-3.22538,11642,6.33406,-1179.05,-0.10128,-0.64149,11423.8,6.21534,-4749.19,-0.41573,-2.58389,256,0.70104,989.994,-637.971,-0.64442,-0.3471,-659.981,-0.66665,-0.35908,2281.25,-838.924,-0.36775,-0.45643,-1100.53,-0.48242,-0.59876,0.49812,0.67817,24412.7,13.28221,46990.5,25.5661,-5010.83,-0.20526,-2.72624,13641.4,7.42187,-674.054,-0.04941,-0.36673,10771.3,5.86034,-4336.776,-0.40262,-2.35951,0.07659,0.02982,-1346.9,-0.73281,-917.41,-0.05176,-0.49913,-1686.4,-0.91752,-1999.4,-1.08781,-504.996,-0.05186,-0.27475,652.5,0.35501,-412.414,-0.0131,-0.22438,0
