pdb,F_I-sc,F_dG-cross/dSASAx100,F_dG-separated/dSASAx100,F_dSASA-polar,F_fa-dun,F_fa-intra-rep,F_fa-intra-sol-xover4,F_sc-value
2b8h_6,-24.536,-1.685,201.21,890.891,1716.733,8.294,169.892,0.562
2bbh_4,-59.324,-2.435,-1.689,836.892,1194.225,5.412,106.009,0.701
2bde_2,-13.76,-1.474,-0.622,954.934,3389.407,15.573,239.495,0.566
2bdm_2,-43.448,-1.57,-0.796,1321.584,2124.407,12.934,202.193,0.646
2bdq_1,-20.574,-2.1,-0.063,854.971,1148.927,6.014,97.929,0.605
2bej_1,-48.341,-2.213,-1.713,897.674,1161.844,4.736,84.317,0.761
2bhm_2,-30.446,-1.546,-0.82,608.808,588.737,3.518,49.174,0.577
2bho_1,-72.286,-3.377,-2.413,591.707,919.52,3.173,53.877,0.75
2bm5_1,-74.107,-4.474,-4.38,462.223,769.808,3.989,69.047,0.742
2bpd_1,-30.517,1.456,84.347,586.09,617.035,2.692,61.778,0.576
2brv_1,81.997,0.304,2.193,1389.907,9322.198,295.925,353.616,0.593
2c2x_1,-57.698,-2.882,-1.874,1662.426,1273.65,6.54,100.194,0.719
2c9s_1,-48.953,-3.496,28.409,460.19,596.234,2.853,54.165,0.73
2cc3_1,-15.013,-1.451,-0.437,623.609,946.857,3.197,58.064,0.575
2cd0_1,0.769,-0.828,64.681,650.469,414.438,2.365,41.214,0.718
2ctx_1,49.933,2.785,196.94,650.775,639.91,4.561,29.06,0.337
2cw2_1,-24.786,-2.37,-0.837,707.301,1193.4,4.892,83.105,0.72
2cw3_1,-21.751,-1.705,-0.672,516.381,1321.352,4.948,94.432,0.745
2cx4_1,247.708,-2.023,-0.977,629.82,1131.309,4.681,78.806,0.645
2d13_2,-38.123,-2.892,-1.958,847.551,979.711,5.964,78.616,0.679
2d4h_1,10.135,-0.771,-0.311,836.533,2311.907,7.025,126.163,0.496
2dc4_1,-62.763,-3.906,-3.833,448.033,704.538,4.548,80.028,0.755
2dh6_1,7.159,-0.714,0.027,1033.798,2393.915,11.315,143.315,0.607
2dou_1,-67.337,-2.221,-1.774,1088.558,1726.464,10.608,148.7,0.631
2dpf_1,477.221,-2.118,21.311,809.514,430.958,2.635,45.943,0.725
2dql_1,-64.717,-3.481,-3.004,339.725,465.141,3.057,58.669,0.733
2dsj_1,-70.593,-4.195,-3.754,502.778,1446.664,9.067,164.345,0.804
2dvn_1,-2.67,-1.585,-1.063,749.343,711.196,5.072,83.002,0.592
2dwu_1,-48.483,-1.834,-0.628,1383.196,1060.873,7.185,107.569,0.661
2dwy_6,1.328,-1.783,-0.803,909.653,857.827,3.14,48.942,0.589
2e1d_1,-20.559,-1.317,-0.568,654.637,1168.722,7.554,137.117,0.706
2e2c_1,-16.994,-2.281,-1.143,359.063,756.459,3.599,70.574,0.547
2e46_1,117.889,-2.178,13.784,979.982,1238.488,5.972,61.209,0.703
2eav_1,2.387,-1.259,84.572,693.285,917.35,4.93,66.73,0.66
2ebb_1,-43.995,-3.331,-2.818,425.495,383.325,2.44,49.727,0.628
2ecf_1,-64.675,-2.543,34.153,996.785,3325.161,19.44,308.633,0.681
2egu_3,-54.398,-3.956,-3.759,661.534,1101.245,6.0,91.099,0.81
2ejn_1,-70.034,-2.762,22.898,1025.183,601.556,2.915,54.833,0.639
2ekz_1,7.538,-1.425,-0.803,766.585,593.375,3.905,67.027,0.65
2eo0_1,7.147,-3.139,-2.743,498.579,826.218,4.452,62.932,0.743
2erc_1,87.128,-0.454,1.7,1507.633,2090.425,11.67,148.818,0.491
2ew2_1,20.387,-3.087,-2.832,457.752,1295.276,6.254,118.858,0.74
2ewt_1,-46.375,-3.44,-3.385,341.996,254.084,1.56,29.117,0.859
2f00_1,-39.107,-1.696,-1.504,1221.344,2597.416,10.093,195.23,0.647
2f1m_2,-3.048,-1.503,-0.883,1002.058,1551.818,4.978,79.97,0.623
2f1z_5,170.87,6.939,12.133,713.069,4587.849,18.485,237.974,0.436
2f5e_1,6.103,-3.3,-2.264,858.223,606.81,3.654,64.961,0.699
2f6s_1,-42.192,-2.17,-1.161,929.792,1217.107,4.505,87.529,0.708
2f96_1,-61.012,-2.51,-1.789,988.26,830.322,4.151,74.102,0.685
2f9q_2,-16.51,-0.726,-0.516,1166.16,4021.463,12.879,193.046,0.515
2f9q_3,99.517,2.399,4.987,693.802,4070.33,12.803,192.868,0.539
2fca_1,-38.333,-2.517,-2.097,677.453,1133.019,3.981,86.852,0.727
2fco_1,-48.321,-2.285,-1.405,758.817,551.11,3.612,66.076,0.622
2ffv_3,-0.791,-0.611,74.995,881.519,3000.274,15.248,230.018,0.482
2fhq_1,-59.534,-2.443,-1.624,614.379,827.938,3.055,52.174,0.76
2fj2_2,-10.123,-1.419,-0.294,807.724,898.438,3.648,31.29,0.651
2fn1_1,-45.06,-3.187,-2.847,491.617,1808.4,8.112,163.818,0.702
2fuc_1,-40.494,-2.843,-1.931,1276.895,1116.829,6.334,111.137,0.697
2fv7_1,8.012,-1.325,-0.112,526.47,1072.366,5.671,95.51,0.516
2g0h_1,18.13,-1.011,-0.58,543.148,2130.923,8.241,125.66,0.586
2g3k_8,-22.218,-1.739,-1.481,544.434,879.909,2.955,39.17,0.522
2g3p_1,-43.864,-1.458,56.766,1069.274,1092.578,4.174,83.509,0.582
2g45_2,191.102,-2.718,-2.238,1746.707,482.534,2.741,51.801,0.71
2g7p_1,-41.199,-2.0,-0.734,1141.709,2140.721,12.04,189.476,0.615
2gd5_1,20.947,-1.675,-0.844,1299.548,1311.632,5.841,72.956,0.563
2gff_1,-101.546,-4.213,-3.73,830.094,426.824,2.146,42.544,0.753
2goj_1,-40.533,-2.677,-1.588,752.542,913.24,4.088,82.949,0.724
2gpc_1,-35.846,-2.271,-1.316,676.515,797.112,3.75,75.52,0.715
2gs2_1,-4.75,-2.283,-1.194,798.966,1618.112,8.722,133.817,0.695
2gsl_3,-20.218,-2.169,-1.258,688.882,855.857,4.177,62.81,0.594
2gwh_1,-36.975,-4.864,-4.621,262.559,1257.349,5.825,134.777,0.85
2gz6_1,-4.795,-0.933,0.111,564.39,1851.31,9.139,175.286,0.187
2h2w_1,-52.779,-2.654,-1.419,1038.546,1388.608,7.577,118.822,0.688
2h8k_1,-23.202,-3.376,-3.015,316.745,1276.715,9.653,109.396,0.786
2h9u_1,32.511,-1.593,99.963,679.322,488.416,3.055,48.715,0.771
2ha7_1,-7.942,-0.894,147.11,543.742,2651.64,10.82,212.942,0.584
2hb0_1,-32.626,-1.516,72.765,1052.651,2090.833,8.679,125.699,0.691
2hjd_1,-67.494,-3.281,-3.24,419.027,347.44,2.141,35.208,0.659
2hk3_1,-55.306,-2.717,-2.196,769.638,2326.051,7.21,150.746,0.701
2hku_1,-54.465,-2.282,-1.862,1080.763,1082.954,4.248,63.968,0.657
2hng_1,-55.432,-4.122,-3.204,627.719,548.451,2.792,59.073,0.647
2hzb_1,-38.279,-2.647,24.224,405.479,1806.458,8.537,119.5,0.671
2i45_4,-50.871,-2.515,-2.073,624.951,878.629,3.46,41.438,0.656
2i5p_1,-101.385,-3.07,-2.129,1029.501,1175.396,7.866,117.54,0.756
2i6a_2,249.597,1.254,4.547,795.624,2835.179,11.51,160.977,0.632
2i7p_1,-12.955,-1.033,0.528,853.663,1405.557,9.019,159.636,0.598
2i91_1,20.671,-1.266,-0.173,1286.35,4799.652,18.793,240.218,0.442
2i9z_1,-56.013,-3.834,-2.819,638.138,558.563,1.917,40.727,0.707
2ibm_4,15.771,-1.134,1.722,1399.46,8490.755,30.456,379.273,0.508
2idl_1,-29.04,-2.328,-1.486,584.227,527.873,3.151,50.652,0.676
2ijd_5,-15.946,-1.419,-0.785,1790.382,2951.611,17.09,254.3,0.414
2ikk_1,-39.574,-2.658,-1.281,894.962,918.575,3.856,63.309,0.6
2imn_1,-31.59,-2.504,21.342,437.207,561.31,2.575,38.824,0.649
2imz_1,-4.391,-0.934,0.211,725.719,493.062,3.533,60.859,0.619
2io3_12,152.287,-1.716,-0.623,1814.948,1315.89,5.44,60.037,0.551
2isy_1,-55.984,-3.992,-3.265,487.347,791.64,3.912,67.291,0.75
2itf_5,1.306,-0.886,-0.589,333.157,571.598,2.738,53.307,0.508
2iut_1,10.304,0.151,0.85,986.237,2055.658,12.414,155.667,0.413
2iut_6,35.745,-1.821,-0.15,888.397,2012.633,12.088,155.83,0.607
2iy2_1,-83.854,-4.195,-3.718,651.252,289.413,1.391,24.105,0.777
2j3s_1,-21.901,-1.412,-0.893,999.816,1523.271,5.105,81.128,0.667
2j3x_1,0.028,-1.271,-0.769,1505.248,1851.178,10.902,181.716,0.534
2j3z_7,0.166,-0.228,0.238,1205.964,2787.727,9.607,177.443,0.604
2j7l_4,14.146,-1.373,-0.148,1775.403,1094.417,5.666,91.334,0.569
2j80_1,68.14,-2.162,-1.426,650.636,431.747,2.125,46.031,0.702
2j85_1,-61.135,-4.604,34.766,471.747,679.282,2.649,47.08,0.766
2j8m_1,-83.583,-3.307,-2.881,1536.499,606.461,3.927,68.632,0.776
2j8w_1,-16.644,-2.585,-1.484,411.846,370.068,2.039,38.748,0.701
2j8z_1,-69.404,-2.99,-2.348,1064.895,1358.275,7.532,108.124,0.784
2j98_1,-40.143,-2.618,-2.199,272.664,563.557,2.787,33.984,0.624
2jbx_1,0.557,-1.455,54.628,743.741,1368.203,4.45,52.876,0.555
2jfp_1,88.552,-2.443,-1.757,665.465,913.253,6.743,91.409,0.628
2jkr_34,11.039,-0.973,-0.186,1094.369,5654.389,24.44,267.515,0.399
2jlp_3,-40.35,-2.908,40.803,508.297,561.401,2.804,58.343,0.705
2npn_3,470.665,-1.284,0.51,363.09,915.405,4.89,102.247,0.603
2nsa_5,-17.586,-2.203,-1.334,926.492,848.225,4.375,93.57,0.719
2nsa_6,-17.51,-1.006,-0.126,1264.449,839.936,4.386,93.568,0.503
2ntx_3,-31.495,-0.821,-0.068,1480.485,1877.294,6.88,134.665,0.591
2nub_6,97.422,-1.091,0.137,1313.369,5576.342,29.668,368.03,0.632
2nvn_1,-76.233,-3.762,-2.825,1075.808,504.429,2.146,41.177,0.83
2nwu_1,-12.283,-1.973,-0.956,452.061,702.306,3.944,58.615,0.723
2nwv_1,-62.635,-3.167,-2.287,774.039,541.1,2.61,49.24,0.758
2nx9_1,-55.841,-2.373,-1.73,1264.331,2287.66,9.742,171.187,0.725
2nyb_2,-40.4,-2.434,-1.683,730.369,612.513,3.58,68.1,0.748
2nys_1,-2.871,-3.077,-2.8,250.017,697.449,3.735,53.651,0.757
2o1v_1,95.255,-0.443,0.573,1425.142,2759.419,13.444,262.747,0.627
2o7m_6,-56.592,-3.3,-2.901,669.77,879.868,3.821,66.875,0.74
2o9a_1,10.4,-1.422,3.005,431.789,888.223,4.5,73.285,0.552
2oai_1,979.637,59.025,59.772,1028.175,356.054,1.659,32.645,0.603
2ob5_1,-81.953,-3.68,-2.985,992.181,494.305,3.206,56.554,0.688
2ofj_1,-8.582,-0.996,0.103,1022.393,1873.541,6.817,116.495,0.483
2ogi_1,-50.195,-4.399,-3.992,387.105,872.004,4.43,85.431,0.776
2oik_2,-88.788,-3.21,-2.438,1349.047,594.825,2.934,55.078,0.724
2omk_1,-45.368,-2.672,-1.941,826.094,843.216,4.156,75.287,0.642
2ont_3,-80.3,-2.38,-1.24,1296.676,635.196,1.613,31.386,0.651
2oo2_1,-66.01,-2.972,-2.537,365.969,474.881,1.806,39.968,0.693
2oqt_5,-30.85,-1.44,-0.086,707.241,1283.004,4.113,62.884,0.552
2ov8_1,-42.957,-2.751,32.608,748.354,1270.816,5.232,102.586,0.678
2ovg_3,-46.248,-3.422,-3.38,457.215,186.175,1.156,19.078,0.682
2ovi_2,54.034,-3.221,-1.578,833.717,853.481,4.508,66.894,0.569
2oz6_1,-90.769,-2.51,-2.016,768.09,1120.666,5.539,91.169,0.707
2ozv_1,-14.247,-2.654,-1.847,492.812,781.563,4.296,77.459,0.68
2p22_22,68.11,-1.54,-0.658,1156.125,740.257,2.879,53.786,0.66
2p5u_1,1.65,-2.363,-1.474,772.954,1474.405,7.547,125.179,0.608
2pcj_1,-12.759,-1.267,-0.889,433.18,817.938,5.529,86.886,0.479
2pf4_5,42.943,-0.272,1.651,1265.829,4858.365,15.721,241.425,0.517
2pfi_1,-38.814,-2.817,-2.162,450.057,502.497,3.322,69.088,0.668
2ph0_1,-67.234,-3.894,-3.791,1013.625,573.343,3.551,56.01,0.629
2ph1_1,-22.597,-2.474,-1.743,401.421,1370.391,7.51,101.091,0.66
2pij_1,-37.789,-3.338,-2.145,548.681,325.13,1.295,22.68,0.667
2pju_1,-37.068,-2.415,-1.899,460.832,993.562,4.023,63.757,0.705
2pl1_1,-45.53,-2.576,-1.947,1147.521,584.904,2.944,61.962,0.567
2pls_5,-4.274,-1.638,-0.706,360.609,607.139,2.003,38.532,0.431
2pmr_1,38.801,-3.755,-3.304,562.152,314.451,1.797,32.167,0.775
2pn5_2,-36.791,-1.163,31.773,1801.691,8580.762,29.593,515.241,0.439
2ppv_1,-73.929,-3.588,-2.843,430.489,1288.704,7.287,131.797,0.734
2pr8_3,50.241,-2.163,-1.901,1107.64,1043.679,3.727,71.25,0.746
2pwj_2,-52.438,-3.237,4.724,456.783,822.759,5.248,73.142,0.796
2pzz_1,-4.924,-1.737,0.449,671.639,608.602,3.689,52.87,0.745
2q24_2,-56.127,-3.37,-2.916,700.787,669.962,3.611,62.886,0.629
2q30_4,-79.157,-3.459,-2.875,1205.213,354.43,1.884,37.91,0.698
2q4n_1,-31.214,-2.614,-2.071,774.008,807.878,4.611,61.624,0.764
2q5c_3,-35.175,-2.464,3.663,423.675,676.717,4.1,67.247,0.695
2q7d_1,-59.781,-2.978,-1.712,1740.293,1607.441,8.783,151.419,0.746
2q8r_2,-57.625,-3.374,2.915,585.817,220.43,1.286,28.519,0.791
2qaz_2,-10.892,-2.56,-1.969,439.639,545.307,2.965,44.527,0.637
2qc7_2,38.758,1.076,2.133,835.914,1977.482,11.648,115.131,0.527
2qgh_1,-128.647,-2.335,-1.772,3189.404,2268.053,11.767,165.974,0.67
2qld_1,-27.273,-2.877,-1.579,469.673,1330.5,5.963,80.433,0.683
2qlx_2,-140.98,-4.712,-3.903,1233.546,423.285,2.27,47.697,0.775
2qms_1,-56.803,-2.819,-2.698,937.765,572.486,2.582,48.771,0.649
2qrr_1,-47.923,-2.199,-1.872,851.234,409.163,2.048,36.578,0.626
2qsq_1,-45.921,-3.271,-3.038,604.223,495.295,2.295,44.383,0.706
2qxl_1,-33.025,-1.683,-0.975,1310.809,3206.115,13.561,250.17,0.53
2qxy_1,-17.815,-3.107,-2.566,457.439,540.286,3.442,56.812,0.512
2qyu_1,-18.855,-1.045,0.091,2512.389,3004.41,12.78,251.304,0.644
2r3v_6,-44.219,-2.897,-2.082,583.248,2473.361,11.497,160.327,0.645
2r7h_1,-54.735,-4.049,-3.501,610.685,486.992,3.171,59.84,0.816
2r8q_1,-54.94,-3.527,-3.229,301.079,1109.077,7.745,148.139,0.763
2rax_22,-29.949,-1.599,-0.978,549.127,537.191,1.661,31.404,0.562
2rc3_2,-62.749,-2.26,-1.527,993.475,577.86,2.575,48.052,0.66
2rcv_2,-34.147,-2.958,-1.309,592.016,752.141,4.134,86.697,0.775
2rdi_2,-25.965,-1.405,-0.1,1190.33,2058.71,8.855,153.629,0.445
2rgv_1,-12.81,-2.871,-2.541,1060.379,968.788,4.073,56.6,0.698
2rhj_1,-37.214,-2.075,-0.676,939.901,1123.906,6.691,110.104,0.647
2snw_1,-9.858,-2.229,-1.368,171.075,1206.338,3.898,69.304,0.676
2tpt_1,-54.985,-1.471,-0.207,504.193,2221.834,9.823,159.966,0.753
2uzj_8,-58.983,-2.196,-2.028,1217.378,922.065,4.956,96.186,0.691
2v3t_1,15.063,-0.529,13.631,1113.707,1425.08,7.356,111.109,0.528
2v54_1,-30.479,-2.584,-0.891,550.635,1320.071,5.953,89.898,0.598
2v5n_1,71.285,0.961,259.693,1235.992,1758.4,5.28,96.87,0.567
2v9c_1,-50.81,-2.139,-0.785,1017.522,1426.418,6.59,84.558,0.682
2vj4_7,-28.339,-1.62,-1.176,729.51,2637.183,8.647,133.372,0.555
2vnc_8,50.435,-0.211,55.456,1353.564,4869.275,17.798,347.104,0.594
2vpk_1,234.754,-1.238,-0.724,1018.943,576.721,3.011,55.476,0.735
2vrn_1,-40.468,-2.51,-1.963,725.545,836.711,3.315,65.815,0.657
2vsc_4,-157.826,-3.55,4.184,2266.716,524.089,2.421,41.712,0.773
2vx8_1,-104.229,-3.033,-2.074,1370.895,802.101,3.172,50.791,0.746
2w0l_2,-20.613,-1.898,23.568,437.719,563.34,1.979,38.69,0.669
2w68_11,-16.959,-1.395,2.01,619.528,1152.858,4.913,72.002,0.546
2w7w_1,-40.696,-1.982,-1.296,856.696,776.065,3.903,70.317,0.737
2wcu_1,-62.709,-3.478,-3.268,507.968,683.138,3.765,55.182,0.714
2we8_2,-56.153,-3.484,-3.174,647.418,1918.491,6.334,111.684,0.824
2wfc_1,-40.055,-2.832,-2.83,307.201,641.094,2.981,51.161,0.627
2wfh_1,-39.803,-1.884,108.899,1045.416,763.62,3.576,68.226,0.637
2wnh_2,109.018,-0.864,77.599,1068.178,1578.384,7.574,159.814,0.601
2wnh_5,-43.179,-1.77,73.276,1202.628,1621.576,8.232,163.873,0.753
2ws2_1,-61.199,-2.843,-1.645,958.697,1869.844,6.428,99.0,0.715
2wui_1,67.098,-2.278,-0.427,1104.535,2453.369,11.463,103.83,0.701
2x2a_1,-32.856,-1.493,-0.757,980.084,601.108,3.594,67.988,0.702
2x2u_3,-37.291,-1.268,46.243,1428.787,1254.292,5.306,102.359,0.647
2x4i_1,-26.631,-3.178,34.211,557.668,580.047,2.759,42.813,0.721
2x6g_7,-35.673,-3.578,9.443,602.201,389.583,1.693,26.73,0.741
2xbf_2,11.885,-1.136,0.64,1182.099,2160.556,11.314,191.047,0.429
2xcr_4,86.169,0.31,1.251,1613.232,6820.008,27.776,338.44,0.497
2xdp_6,-66.802,-2.991,-1.966,2319.22,430.597,3.409,52.141,0.771
2xeq_1,21.036,-1.537,-0.356,821.124,1224.91,6.924,122.041,0.608
2xeq_5,-11.155,-1.064,1.337,751.038,1296.222,7.615,121.904,0.585
2xer_3,33.605,-0.871,1.213,1460.92,1318.122,7.499,105.025,0.593
2xeu_1,164.775,-3.418,-3.001,363.867,214.638,1.235,25.039,0.747
2xhf_1,-46.289,-3.161,-3.059,360.918,630.304,3.752,65.665,0.754
2xiq_1,-30.998,-1.894,-0.732,1699.479,2937.741,14.307,288.584,0.559
2xj3_1,-60.037,-3.57,-3.103,519.657,232.466,1.612,28.704,0.762
2xj9_1,-7.009,-1.489,-0.976,1609.317,2485.693,12.647,114.78,0.48
2xss_2,-120.801,-2.883,-1.81,2844.557,1503.341,3.976,65.75,0.7
2xt2_1,-62.949,-4.389,-3.151,689.864,857.793,4.537,80.739,0.69
2xwc_1,-19.741,-1.819,58.067,695.196,909.136,3.954,70.5,0.676
2yaz_6,-31.218,-1.156,-0.927,1552.899,1200.671,5.855,110.917,0.545
2ycj_1,-121.818,-3.8,-3.28,892.833,1441.308,7.818,113.494,0.725
2ym0_5,-57.926,-2.811,-2.244,666.292,1029.309,5.088,79.259,0.705
2ym9_8,-11.6,-1.866,-1.297,562.715,1203.456,4.947,72.682,0.496
2ymz_2,-39.694,-3.283,-2.383,655.781,608.565,2.918,54.553,0.572
2yvq_2,109.045,-0.032,0.726,1246.344,524.162,3.66,57.564,0.604
2yvu_1,288.913,-0.5,0.25,1124.472,955.457,4.885,77.444,0.648
2ywa_1,-28.615,-0.71,1.709,971.862,855.148,4.191,67.284,0.636
2yxz_2,-159.58,-2.826,-1.712,1921.412,1058.339,6.665,105.35,0.708
2yy9_1,-52.132,-2.696,-2.418,592.325,640.998,3.071,45.37,0.714
2z00_2,-77.88,-3.561,-2.718,954.363,1883.759,10.065,172.504,0.716
2z0f_1,11.408,-1.846,-0.484,557.243,2233.484,13.266,204.016,0.736
2z6f_1,-14.154,-2.172,-1.735,342.809,660.982,2.694,51.072,0.72
2z7c_2,7.083,-1.517,-1.133,540.225,580.337,3.078,42.522,0.687
2zb3_4,-35.276,-2.625,-1.925,1210.162,1819.746,9.543,129.414,0.495
2ze3_1,-146.854,-2.973,-2.163,1615.834,1130.763,7.356,114.232,0.682
2zhg_1,11.127,-1.854,-1.095,1355.877,937.859,4.234,46.813,0.645
2zkj_2,-32.059,-1.887,-1.224,510.444,1963.73,9.23,142.891,0.661
2znh_1,-404.881,-2.94,11.079,4460.168,2276.168,21.711,184.126,0.765
2zoz_2,-7.283,-1.063,-0.76,293.484,916.561,4.666,88.76,0.624
2zu1_3,-12.95,-1.952,-1.247,455.297,669.628,4.358,69.126,0.705
2zv3_3,-56.343,-2.923,-2.229,508.813,531.395,2.997,51.973,0.699
2zvz_1,-36.33,-2.463,-1.682,831.186,1599.012,6.442,83.596,0.744
2zw2_1,-119.641,-3.938,-3.475,1125.779,367.618,2.625,39.471,0.748
2zxy_1,-19.302,-1.294,-1.031,218.169,282.767,1.602,28.617,0.435
2zz8_1,-37.439,-1.805,-1.208,634.6,1149.185,5.259,77.429,0.647
2zzn_2,5.981,-1.91,-0.861,801.317,2706.739,13.804,182.504,0.495
2zzt_1,-34.965,-3.859,-3.401,203.023,838.99,3.921,44.488,0.771
3a1d_5,-49.451,-2.102,-1.345,957.478,1001.852,5.072,101.959,0.595
3a44_1,237.779,-1.13,-0.484,2557.434,931.79,4.836,68.184,0.7
3a9i_1,-53.651,-1.544,-0.865,1808.484,1471.032,7.494,157.128,0.631
3aad_12,88.759,0.013,2.171,855.988,1732.576,4.576,71.108,0.519
3ajz_1,-26.688,-2.969,-2.048,668.033,587.202,3.063,56.248,0.655
3al9_1,-27.631,-1.871,313.473,848.31,2470.887,10.398,202.899,0.653
3aln_1,137.63,2.075,3.1,1639.109,2950.848,11.178,127.175,0.635
3ani_1,-30.067,-1.895,-1.363,1001.008,2383.654,8.517,176.929,0.603
3aos_1,-43.312,-2.152,22.883,1122.323,1601.449,5.258,85.407,0.623
3aqt_1,-43.897,-2.554,-2.088,627.913,935.553,4.985,79.078,0.615
3atp_1,90.774,0.818,6.794,1331.524,1809.962,6.618,78.431,0.625
3auf_1,-57.841,-2.797,-2.614,866.523,764.65,5.358,88.943,0.763
3aux_2,151.759,0.641,2.248,1159.317,2255.987,11.652,150.178,0.36
3aw8_1,-36.473,-1.525,-0.793,1116.889,2181.708,10.715,159.28,0.621
3b39_3,39.986,-1.152,-0.298,1488.963,1555.298,7.107,139.924,0.405
3b4u_1,-90.122,-3.007,-2.619,1093.649,794.899,5.495,98.482,0.677
3b7h_1,63.279,-3.207,-2.785,616.583,286.048,1.769,32.757,0.719
3b7m_6,-26.416,-1.351,28.58,902.308,965.192,4.04,74.858,0.62
3bde_2,-64.555,-3.681,-2.508,799.079,338.953,2.004,46.372,0.749
3bdl_3,-157.884,-2.162,-1.77,4403.375,2148.967,13.148,223.647,0.559
3bif_1,-11.803,-1.672,-0.93,460.82,2039.299,10.711,198.385,0.762
3bjr_1,-38.757,-2.63,-2.221,902.618,909.744,7.535,87.028,0.595
3bjv_1,19.186,-0.941,0.095,507.474,943.615,4.297,57.906,0.451
3bl8_1,-38.291,-2.09,102.273,503.794,4262.128,12.45,250.001,0.644
3blc_3,-110.725,-3.022,-2.241,1962.613,1754.511,6.025,99.856,0.722
3bqa_1,4.459,-0.7,0.355,1033.851,709.219,3.842,65.891,0.649
3bs3_1,-11.707,-2.411,-1.877,281.838,296.865,1.374,29.255,0.687
3bwv_1,-56.659,-3.455,-2.89,837.747,750.621,4.422,72.192,0.724
3bxh_1,-23.955,-2.345,-0.847,362.334,904.021,4.481,91.4,0.587
3bxx_1,-0.146,-0.936,-0.433,1448.092,2427.183,7.603,127.287,0.526
3bxz_1,5.717,-2.203,-0.811,704.719,3272.033,13.28,201.437,0.55
3by8_2,-18.327,-1.827,-1.274,757.895,584.03,3.44,59.983,0.637
3c1q_1,-17.723,-1.398,-0.855,884.206,405.854,2.325,48.183,0.782
3c5q_1,-126.831,-2.086,-1.025,3178.91,2290.785,12.528,165.834,0.654
3c6b_1,1342.651,55.665,56.685,932.381,1576.816,5.873,119.995,0.56
3c8j_1,-61.022,-3.722,100.271,345.011,963.99,3.231,56.911,0.755
3c8x_2,-86.121,-2.981,10.682,1233.315,617.092,3.314,63.861,0.777
3c9g_1,-9.191,-2.488,-1.785,400.816,780.151,5.049,63.79,0.745
3cb2_1,-55.51,-1.844,-1.174,1355.259,2048.039,8.658,177.972,0.604
3ccg_1,-46.603,-3.239,-2.3,564.127,648.4,4.586,88.238,0.73
3ce1_1,-49.653,-3.713,17.213,408.982,402.59,2.486,50.041,0.773
3cei_1,-30.904,-2.43,-0.973,589.361,1047.61,5.596,94.38,0.711
3chi_1,-38.517,-2.577,-2.187,646.399,1896.612,6.524,137.633,0.671
3cjw_1,8.298,-1.566,0.387,798.363,1444.492,7.702,83.736,0.609
3cl3_7,-32.424,-1.966,-0.762,623.845,448.292,1.676,31.784,0.728
3clk_1,-32.965,-1.665,-0.566,993.639,1131.624,7.017,106.345,0.585
3clv_1,-28.115,-2.87,-2.346,525.807,743.441,8.156,77.128,0.834
3cnk_1,-44.201,-2.342,-1.588,840.793,315.253,1.797,28.432,0.658
3cpe_5,-25.741,-1.223,-0.628,1716.8,3343.703,12.074,233.211,0.571
3crj_1,-50.185,-2.139,-1.261,1277.943,1636.606,4.841,95.955,0.521
3ctz_1,378.219,11.703,12.649,1171.798,2334.605,12.466,250.009,0.646
3cwc_1,-68.923,-3.928,-3.49,512.842,2234.163,7.526,125.012,0.721
3cwn_2,-32.659,-2.281,-1.675,431.945,1067.506,6.576,129.599,0.757
3cyv_1,-38.54,-1.482,-1.205,1050.489,2811.507,11.574,164.391,0.597
3cz7_3,-14.766,-2.054,-1.048,997.823,1740.735,8.565,150.921,0.714
3d6r_3,-31.373,-2.364,-1.532,484.36,497.674,3.422,49.137,0.687
3d7a_1,-5.407,-0.998,0.806,578.275,764.383,3.435,61.748,0.776
3d7q_2,-4.812,-1.417,-0.044,1036.72,639.004,2.839,52.661,0.81
3d8u_1,13.53,-1.503,-0.674,1269.417,2351.211,9.313,111.112,0.426
3da8_1,-61.145,-3.156,-2.747,684.713,501.639,3.658,64.426,0.741
3dcj_1,-9.767,-1.224,-0.851,723.543,813.155,3.743,67.783,0.506
3dd9_1,-141.787,-3.408,-2.948,1828.537,723.975,2.855,44.319,0.727
3ded_1,-0.418,-1.348,-0.118,636.593,418.462,1.825,37.941,0.727
3dex_1,-39.901,-1.989,42.645,793.351,643.708,2.509,41.76,0.65
3dh1_1,-58.647,-2.658,-1.487,419.602,886.49,3.405,58.436,0.633
3die_1,-297.309,-4.311,-2.852,3039.521,325.401,2.194,33.939,0.74
3dih_2,-30.216,-1.886,272.895,290.866,946.922,3.368,57.696,0.618
3dka_1,-30.972,-1.679,-0.529,731.328,635.523,3.135,64.569,0.658
3dl3_1,-13.865,-2.731,-2.291,722.468,529.264,2.726,53.138,0.649
3dm8_1,-55.038,-3.304,-3.067,374.009,653.668,3.721,59.662,0.719
3do5_1,-30.867,-1.56,-0.459,1399.886,1264.724,6.925,119.159,0.587
3dpt_1,-39.609,-1.959,-1.04,1212.053,1910.033,7.519,118.225,0.528
3dqp_1,-55.087,-3.338,-2.403,375.814,844.913,4.272,88.733,0.77
3dqv_12,45.966,0.293,1.269,1848.997,3101.572,13.22,190.172,0.501
3dqz_2,-53.862,-2.885,-2.532,476.59,1352.894,6.447,109.615,0.789
3dui_1,250.557,3.564,3.766,684.377,624.773,3.359,54.669,0.563
