pdb-id,I_DLScoreBC_class,I_p_biological,Training
3nzp_2,crystal,0.241,False
2egu_3,biological,0.894,False
1np8_1,biological,0.863,False
1wtc_1,crystal,0.117,False
4xar_1,biological,0.666,False
1som_1,crystal,0.000,False
2o1v_1,crystal,0.259,False
3hha_4,biological,0.647,False
1zc6_1,crystal,0.004,False
1fpq_1,biological,0.971,False
5ckl_1,biological,0.900,False
1ijy_1,crystal,0.247,False
3fh0_1,crystal,0.006,False
4s3m_1,crystal,0.347,False
4zqb_1,crystal,0.064,False
2xwc_1,crystal,0.411,True
5cow_2,crystal,0.238,False
2bpd_1,biological,0.791,False
4iys_1,biological,0.613,False
4mqb_1,crystal,0.015,False
4g7n_1,crystal,0.181,False
2ekz_1,crystal,0.185,False
1iyz_1,biological,0.939,False
1dd7_1,crystal,0.246,False
1xur_1,biological,0.821,False
4q96_2,biological,0.829,False
4p52_2,crystal,0.429,False
4nnz_2,crystal,0.424,False
3ucr_1,biological,0.983,False
2ar8_1,crystal,0.005,False
2ha7_1,crystal,0.001,False
1bws_1,crystal,0.196,True
3hn2_1,biological,0.642,False
1ujk_3,crystal,0.171,False
4y5u_1,biological,0.785,False
1bp6_1,crystal,0.011,False
3ijl_2,biological,0.574,False
1s9p_5,biological,0.726,False
4dsc_1,biological,0.830,False
3qxu_2,crystal,0.331,False
3rog_2,crystal,0.153,False
4ldz_1,biological,0.699,False
4ckn_2,crystal,0.418,False
1se8_1,crystal,0.472,False
1kvo_2,crystal,0.331,False
2axi_3,crystal,0.436,False
5p21_1,crystal,0.045,False
3fcx_1,crystal,0.003,False
4h2i_1,biological,0.869,False
1esr_1,crystal,0.157,False
3mxo_2,crystal,0.412,False
3e6d_1,biological,0.959,False
4rnj_1,biological,0.888,False
4i15_1,crystal,0.091,False
8jdw_1,crystal,0.039,False
1poe_1,crystal,0.115,False
3g45_1,crystal,0.017,False
4jp4_1,biological,0.834,False
1qrd_1,crystal,0.071,False
1bjt_1,biological,0.582,False
3h7l_3,crystal,0.021,False
1qvt_19,crystal,0.134,False
3gz1_1,biological,0.986,False
4lrw_1,crystal,0.038,False
3kux_3,crystal,0.358,False
1vpl_1,biological,0.564,False
4ray_1,biological,0.941,False
4yyy_1,crystal,0.037,False
4l85_1,biological,0.663,False
1jye_1,crystal,0.013,False
2qms_1,biological,0.942,False
2fv7_1,crystal,0.141,False
2dvn_1,crystal,0.153,False
4xbd_3,crystal,0.123,False
1txn_1,crystal,0.499,False
2rgv_1,biological,0.947,False
4tt4_1,crystal,0.029,False
2bej_1,crystal,0.218,False
1f1j_5,biological,0.674,False
1lvb_5,crystal,0.152,False
2bde_2,crystal,0.009,False
1yv9_1,crystal,0.096,False
2g3k_8,biological,0.853,False
1vok_6,crystal,0.017,False
1ecx_1,biological,0.795,False
3d6r_3,biological,0.971,False
5b7z_1,crystal,0.076,False
5j7n_3,biological,0.727,False
5hs8_1,biological,0.959,False
5gt9_1,crystal,0.459,False
5ckn_1,crystal,0.021,False
5dyw_1,crystal,0.010,False
5h0i_1,crystal,0.002,False
5uzx_1,crystal,0.025,False
4zmy_1,biological,0.841,False
5z70_2,biological,0.777,False
5wdi_2,crystal,0.101,False
5yii_1,biological,0.993,False
5t9f_1,crystal,0.084,False
5svg_1,biological,0.991,False
4czm_5,crystal,0.188,False
6bwy_1,crystal,0.082,False
3ml6_7,crystal,0.081,False
3zl7_8,crystal,0.012,False
2rax_22,biological,0.850,False
1qex_1,crystal,0.092,False
6g5g_11,crystal,0.012,False
2bbh_4,biological,0.932,False
2f9q_3,biological,0.799,False
1l7c_5,biological,0.640,False
4ngf_4,crystal,0.031,False
2ajq_9,crystal,0.025,False
6d9m_4,crystal,0.031,False
2iut_1,crystal,0.083,False
5iqw_2,biological,0.891,False
3ffn_1,biological,0.664,False
3v00_10,crystal,0.043,False
1dgk_1,crystal,0.012,False
5w5i_6,crystal,0.074,False
4xss_5,crystal,0.016,False
3frs_2,crystal,0.284,False
3kga_1,crystal,0.260,False
2v5n_1,crystal,0.121,False
6rp3_5,biological,0.905,False
6b72_1,crystal,0.385,False
3jpw_2,crystal,0.125,False
3cz7_3,crystal,0.080,False
2ym0_5,biological,0.986,False
2ym9_8,biological,0.877,False
4twa_2,crystal,0.015,False
1pp3_2,biological,0.713,False
4nzq_2,crystal,0.412,False
4wph_1,crystal,0.007,False
2i6a_2,biological,0.761,False
2b0u_18,crystal,0.156,False
6txq_3,crystal,0.015,False
6qzh_3,crystal,0.002,False
4e89_2,crystal,0.305,False
4oph_1,crystal,0.307,False
5v38_7,biological,0.635,False
3tg8_4,crystal,0.301,False
5dis_10,crystal,0.013,False
6o9q_5,crystal,0.022,False
4g3u_6,biological,0.967,False
4hok_1,biological,0.777,False
3cl3_7,biological,0.629,False
1kho_1,crystal,0.313,False
2zb3_4,crystal,0.249,False
4p2l_1,crystal,0.144,False
4u66_5,biological,0.965,False
6a17_1,biological,0.868,False
4cqo_2,crystal,0.474,False
4l4w_9,crystal,0.275,False
6i7k_1,crystal,0.343,False
6s1l_5,crystal,0.106,False
3wbj_6,crystal,0.325,False
4epl_2,crystal,0.323,False
3ftj_3,biological,0.930,False
1sw2_4,crystal,0.014,False
1p35_11,crystal,0.010,False
6qu4_11,crystal,0.415,False
4hdg_1,crystal,0.158,False
6h97_3,crystal,0.104,False
3woa_1,crystal,0.103,False
3me4_1,crystal,0.175,False
5uqm_2,crystal,0.003,False
4wwc_3,crystal,0.110,False
1wlg_3,crystal,0.004,False
2ofj_1,crystal,0.002,False
4n3v_1,biological,0.534,False
3lya_4,crystal,0.318,False
1mvh_1,crystal,0.036,False
5mja_1,crystal,0.097,False
5xwm_3,crystal,0.004,False
6ii0_11,crystal,0.012,False
1lkv_6,biological,0.539,False
6h3u_14,biological,0.683,False
5gzu_1,crystal,0.009,False
1vic_7,crystal,0.072,False
4tkx_3,biological,0.570,False
4aqt_3,crystal,0.231,False
6gv1_7,biological,0.997,False
4tse_1,biological,0.692,False
4mkq_1,biological,0.744,False
6nc7_1,crystal,0.015,False
2vj4_7,biological,0.696,False
6tfq_4,crystal,0.003,False
6f1k_1,crystal,0.344,False
1qpg_1,crystal,0.022,False
6bui_11,crystal,0.102,False
6dfk_9,crystal,0.130,False
3aos_1,biological,0.545,False
3rtr_20,biological,0.958,False
1bs2_4,crystal,0.344,False
6mac_5,biological,0.659,False
3gty_7,crystal,0.209,False
4c0o_1,crystal,0.099,False
1u07_1,crystal,0.375,False
2zzn_2,crystal,0.119,False
3uit_14,crystal,0.040,False
1c16_14,biological,0.693,False
3frl_1,crystal,0.119,False
4ayn_1,crystal,0.382,False
5uvc_5,crystal,0.052,False
1qex_6,crystal,0.426,False
4cmp_11,crystal,0.147,False
4yl6_4,crystal,0.232,False
5xfl_2,crystal,0.093,False
6j20_3,crystal,0.091,False
1xi1_1,biological,0.604,False
3hpn_1,biological,0.848,False
4p3w_1,crystal,0.252,False
3r8k_1,crystal,0.299,False
1jqj_9,crystal,0.103,False
3qwm_1,biological,0.958,False
1q1e_2,biological,0.770,False
5kvt_2,crystal,0.122,False
6eet_1,crystal,0.268,False
1qhm_4,crystal,0.286,False
4p7o_1,crystal,0.008,False
3okt_4,biological,0.995,False
3dxb_16,crystal,0.031,False
3v0e_5,biological,0.660,False
3pbb_5,biological,0.530,False
5xzw_7,crystal,0.036,False
1x1p_3,crystal,0.434,False
1xew_4,crystal,0.156,False
6n5z_1,biological,0.745,False
5y5w_3,crystal,0.186,False
4p3o_5,crystal,0.024,False
1cyy_5,crystal,0.039,False
1lws_4,crystal,0.035,False
4qhh_3,biological,0.951,False
4i6s_9,biological,0.958,False
5eg8_1,crystal,0.223,False
1azt_1,crystal,0.077,False
5f5m_2,crystal,0.049,False
5f5m_14,crystal,0.201,False
4zhr_4,crystal,0.010,False
6k6n_1,biological,0.805,False
4ldb_4,crystal,0.492,False
5vm9_1,crystal,0.073,False
5gmj_6,biological,0.551,False
3fe1_7,crystal,0.075,False
6cjs_3,biological,0.826,False
3bqa_1,crystal,0.147,False
5wof_13,biological,0.985,False
6bnc_1,crystal,0.024,False
5fom_2,crystal,0.345,False
3q5m_5,crystal,0.184,False
6a16_5,crystal,0.190,False
1g73_7,crystal,0.430,False
6d3l_1,crystal,0.006,False
3prb_7,biological,0.550,False
5l45_1,crystal,0.359,False
3nuh_5,crystal,0.005,False
2brv_1,crystal,0.008,False
3wbj_2,crystal,0.026,False
4oar_3,biological,0.867,False
4bbr_39,crystal,0.003,False
2wfh_1,biological,0.794,False
6emt_1,crystal,0.386,False
5n71_4,crystal,0.060,False
4wlm_2,biological,0.769,False
6aob_1,biological,0.967,False
4dmz_1,crystal,0.426,False
4gmg_11,crystal,0.047,False
5nfo_5,crystal,0.056,False
3e7k_14,biological,0.866,False
4pel_7,crystal,0.194,False
1p8l_1,crystal,0.060,False
4dez_3,crystal,0.401,False
4rly_3,crystal,0.116,False
3wnk_2,crystal,0.471,False
2ejn_1,biological,0.984,False
4z8x_8,biological,0.863,False
3nyo_3,crystal,0.014,False
2j3z_7,crystal,0.151,False
2j3x_1,crystal,0.013,False
2vnc_8,crystal,0.073,False
3k8v_9,biological,0.881,False
3dpt_1,crystal,0.247,False
5col_1,biological,0.980,False
2ntx_3,crystal,0.031,False
2nsa_6,crystal,0.132,False
2nsa_5,crystal,0.276,False
5afb_5,crystal,0.443,False
6j09_4,crystal,0.250,False
2zz8_1,crystal,0.293,False
3opu_23,crystal,0.021,False
5yii_2,biological,0.993,False
5uig_4,biological,0.999,False
1j36_3,crystal,0.101,False
3ml6_3,biological,0.737,False
2bdm_2,crystal,0.064,False
1dov_3,biological,0.837,False
4da4_1,crystal,0.100,False
6ucm_16,crystal,0.053,False
5znd_3,biological,0.640,False
4pfe_1,biological,0.554,False
2xcr_4,crystal,0.084,False
5yfn_4,crystal,0.295,False
6dd5_1,crystal,0.420,False
5ygs_6,biological,0.788,False
5wme_4,biological,0.939,False
3o77_2,crystal,0.379,False
3fjo_2,crystal,0.040,False
4iyp_5,biological,0.954,False
5fuf_1,crystal,0.147,False
4qgb_1,biological,0.533,False
4kmd_4,crystal,0.261,False
5ifw_6,crystal,0.400,False
2p22_22,biological,0.662,False
2jkr_34,crystal,0.080,False
3nan_2,crystal,0.002,False
2g7p_1,crystal,0.066,False
6k4p_3,crystal,0.065,False
1gyl_1,crystal,0.264,False
5n69_1,crystal,0.008,False
5mz4_7,biological,0.572,False
4nld_3,crystal,0.334,False
1fr1_1,crystal,0.007,False
2j7l_4,crystal,0.026,False
5jgk_1,crystal,0.120,False
3ty9_4,crystal,0.474,False
3fg3_1,crystal,0.003,False
1y6h_3,crystal,0.326,False
6fju_1,biological,0.977,False
2ac1_3,crystal,0.004,False
3ftj_5,biological,0.944,False
5hns_1,biological,0.744,False
5dbl_1,crystal,0.023,False
4qdh_1,crystal,0.067,False
1dt9_4,crystal,0.005,False
4g0b_5,crystal,0.208,False
6jod_12,crystal,0.050,False
4n4a_3,crystal,0.027,False
3b39_3,crystal,0.078,False
2erc_1,biological,0.684,False
6ii0_7,crystal,0.037,False
5ncs_1,crystal,0.450,False
6h3s_1,biological,0.837,False
6jj4_4,crystal,0.195,False
6ewi_3,crystal,0.240,False
3kvb_1,crystal,0.125,False
3aln_1,crystal,0.153,False
2xiq_1,crystal,0.058,False
5wtx_4,crystal,0.115,False
4u9o_3,crystal,0.389,False
2nub_6,crystal,0.193,False
4ayg_2,crystal,0.360,False
2wnh_2,crystal,0.002,False
2pr8_3,biological,0.543,False
5imt_6,crystal,0.008,False
6f6p_1,crystal,0.244,False
2i91_1,crystal,0.009,False
4fhl_2,biological,0.857,False
3t6n_4,biological,0.738,False
5oj8_3,crystal,0.120,False
2uzj_8,crystal,0.162,False
5wly_5,biological,0.878,False
4dq0_1,biological,0.685,False
3n5c_1,biological,0.920,False
3vh1_2,crystal,0.289,False
3o51_5,crystal,0.365,False
6ehg_10,crystal,0.000,False
3zrt_1,crystal,0.039,False
6as7_3,crystal,0.223,False
4jc8_1,crystal,0.285,False
5fn0_6,crystal,0.134,False
6bi7_21,crystal,0.253,False
6i04_3,crystal,0.122,False
1br1_20,crystal,0.495,False
1ici_5,biological,0.590,False
3rt0_1,crystal,0.008,False
5yik_15,biological,0.830,False
6wrh_3,crystal,0.069,False
3p4y_1,biological,0.532,False
4o03_1,biological,0.523,False
3lmn_8,crystal,0.211,False
3s4r_7,crystal,0.193,False
2pf4_5,biological,0.558,False
3bxx_1,crystal,0.053,False
1gcj_1,biological,0.533,False
3eij_1,crystal,0.202,False
5dyk_2,biological,0.821,False
4a64_5,biological,0.907,False
3npc_2,biological,0.946,False
4h6z_1,biological,0.848,False
3tgo_11,crystal,0.281,False
5y4s_6,crystal,0.215,False
5yp1_3,crystal,0.039,False
3wbi_8,crystal,0.041,False
4hne_6,biological,0.742,False
4a12_9,crystal,0.204,False
5o8e_2,crystal,0.003,False
5lb8_1,crystal,0.041,False
3kt3_3,crystal,0.103,False
2g3p_1,crystal,0.403,False
5zhq_1,crystal,0.131,False
4i1m_4,biological,0.699,False
4fna_6,crystal,0.026,False
6a1z_5,crystal,0.010,False
5xwm_1,crystal,0.168,False
4lhc_2,crystal,0.035,False
4u5k_1,biological,0.672,False
3p27_1,crystal,0.027,False
1k1y_4,crystal,0.119,False
3pim_1,biological,0.927,False
4cyj_12,crystal,0.277,False
5igp_2,biological,0.883,False
5h7z_5,crystal,0.207,False
2x2u_3,biological,0.543,False
1h3i_1,biological,0.930,False
1pcz_1,biological,0.579,False
6r2f_1,biological,0.784,False
6hzl_2,crystal,0.097,False
6j09_5,crystal,0.198,False
6aeg_3,crystal,0.001,False
6beb_5,biological,0.937,False
5h13_1,crystal,0.298,False
3c8x_2,biological,0.954,False
5ajn_3,crystal,0.070,False
6eng_3,crystal,0.204,False
3tpe_4,crystal,0.455,False
1eku_1,crystal,0.188,False
1mml_2,crystal,0.494,False
6w25_2,crystal,0.382,False
2ibm_4,biological,0.538,False
3smt_4,biological,0.550,False
6epp_2,crystal,0.034,False
3cb2_1,biological,0.830,False
4zch_5,biological,0.624,False
5afb_2,crystal,0.413,False
6dkk_6,biological,0.807,False
2ont_3,biological,0.686,False
1t3w_1,biological,0.866,False
6gzc_3,biological,0.965,False
5hb0_7,biological,0.568,False
6jtz_1,biological,0.864,False
1k9a_11,crystal,0.101,False
3mlp_10,biological,0.663,False
4gc9_1,biological,0.926,False
5a1k_8,biological,0.952,False
1e6c_1,biological,0.673,False
4ft4_1,crystal,0.069,False
4hj1_6,biological,0.752,False
6fpt_1,biological,0.579,False
4hc1_28,biological,0.722,False
4pz8_4,crystal,0.009,False
2xer_3,biological,0.675,False
6hkw_16,crystal,0.005,False
4rct_1,biological,0.958,False
3eb8_3,biological,0.663,False
1kcm_6,crystal,0.471,False
4f7r_11,biological,0.956,False
3qb2_9,biological,0.735,False
5d9g_2,crystal,0.397,False
3grl_1,biological,0.933,False
3ktm_12,biological,0.554,False
5gx8_1,crystal,0.085,False
3g0f_1,biological,0.913,False
6gfk_3,crystal,0.214,False
1rp5_3,crystal,0.004,False
5y9h_6,crystal,0.094,False
5nqz_11,crystal,0.221,False
4w8p_5,crystal,0.242,False
5f3k_1,crystal,0.214,False
5knl_11,crystal,0.108,False
5mio_5,biological,0.713,False
4cqo_7,crystal,0.018,False
2yvq_2,biological,0.899,False
5dtm_1,crystal,0.134,False
4w4j_5,biological,0.512,False
4rxj_2,biological,0.516,False
4g0a_16,crystal,0.047,False
3aux_2,crystal,0.499,False
3hy1_5,crystal,0.002,False
3cpe_5,crystal,0.207,False
6vjb_4,crystal,0.002,False
6g20_4,biological,0.617,False
6r80_2,biological,0.907,False
5bqn_4,crystal,0.008,False
1zcj_3,crystal,0.069,False
5k4b_1,crystal,0.009,False
4gtw_1,crystal,0.001,False
6jdu_3,crystal,0.130,False
4knh_1,crystal,0.082,False
4gvl_7,crystal,0.075,False
5lx8_1,crystal,0.195,False
4m58_1,biological,0.667,False
4aqf_9,crystal,0.027,False
1n0v_2,crystal,0.035,False
5e5p_4,crystal,0.192,False
3mt5_4,crystal,0.127,False
6tka_4,crystal,0.129,False
5yij_13,crystal,0.299,False
6rrc_4,crystal,0.130,False
5ytb_12,crystal,0.007,False
4eib_6,biological,0.664,False
2ijd_5,crystal,0.414,False
3dqv_12,crystal,0.113,False
3pnd_8,crystal,0.197,False
5gkx_4,biological,0.952,False
2gd5_1,biological,0.757,False
4npj_1,crystal,0.147,False
6i97_1,crystal,0.240,False
6iny_1,biological,0.605,False
4d94_2,crystal,0.057,False
6iii_1,biological,0.707,False
5csa_6,crystal,0.221,False
1m6b_2,biological,0.581,False
6eku_2,crystal,0.172,False
4ju5_1,biological,0.920,False
5yij_5,biological,0.524,False
4c0p_1,crystal,0.059,False
3ihr_3,crystal,0.099,False
1ud0_7,crystal,0.290,False
6g88_1,crystal,0.001,False
5msn_1,crystal,0.171,False
4red_8,crystal,0.413,False
6pqn_5,biological,0.986,False
2q7d_1,biological,0.881,False
6p40_1,crystal,0.281,False
2xj9_1,crystal,0.188,False
2pn5_2,biological,0.889,False
1yln_1,crystal,0.413,False
1taq_5,crystal,0.222,False
3m7p_3,crystal,0.344,False
3icw_3,biological,0.719,False
1hsj_1,crystal,0.423,False
4ov8_5,crystal,0.057,False
5y5w_17,crystal,0.180,False
5zln_1,crystal,0.071,False
3blc_3,biological,0.873,False
3a9i_1,crystal,0.264,False
3enm_11,biological,0.694,False
4kxf_17,crystal,0.093,False
3ihl_5,biological,0.883,False
5fgo_1,biological,0.853,False
2vx8_1,biological,0.875,False
6fnz_4,biological,0.981,False
1a17_6,biological,0.581,False
5onc_1,biological,0.987,False
5hay_1,crystal,0.037,False
1juh_9,crystal,0.186,False
2g45_2,crystal,0.387,False
6cf6_1,biological,0.638,False
6np6_5,biological,0.942,False
5mqh_4,crystal,0.050,False
4yh6_1,crystal,0.244,False
1lee_3,biological,0.665,False
6g16_10,crystal,0.127,False
4hhe_4,biological,0.865,False
1ku2_1,crystal,0.212,False
6qsn_1,biological,0.903,False
3hie_3,biological,0.906,False
5oym_13,biological,0.905,False
3thn_1,crystal,0.449,False
1j8f_5,crystal,0.210,False
4red_1,biological,0.638,False
4ziq_3,crystal,0.173,False
5xq1_1,biological,0.928,False
3mgc_2,biological,0.570,False
4c0s_1,biological,0.666,False
2vsc_4,biological,0.610,False
5yim_2,crystal,0.063,False
5k5t_1,crystal,0.077,False
6bb8_2,crystal,0.158,False
1t1e_2,crystal,0.002,True
2xdp_6,biological,0.728,False
4h6u_1,biological,0.827,False
2qyu_1,crystal,0.210,False
3dd9_1,biological,0.998,False
4gew_4,crystal,0.216,False
1k46_1,crystal,0.441,False
1cx8_2,crystal,0.149,False
6dkk_1,biological,0.995,False
4w8c_6,biological,0.987,False
5igh_2,biological,0.695,False
5gyr_7,biological,0.911,False
3u8z_2,biological,0.728,False
3ufe_1,biological,0.960,False
5crc_1,biological,0.924,False
5dzm_3,biological,0.898,False
4w8j_6,biological,0.620,False
5cb2_3,crystal,0.070,False
5mus_1,crystal,0.094,False
5ex9_2,crystal,0.375,False
3a44_1,biological,0.866,False
5xpu_3,biological,0.960,False
3kph_1,biological,0.870,False
6fb3_1,crystal,0.400,False
2io3_12,biological,0.966,False
6jsd_1,biological,0.884,False
1kix_3,crystal,0.228,False
2xss_2,biological,0.768,False
3k55_9,crystal,0.384,False
6bm9_1,biological,0.986,False
3die_1,biological,0.868,False
6ii0_6,biological,0.742,False
5hb4_7,crystal,0.333,False
6fhm_1,crystal,0.150,False
4u59_2,crystal,0.113,False
3bdl_3,crystal,0.131,False
5zyo_2,biological,0.812,False
4pbc_1,biological,0.838,False
2znh_1,biological,0.940,False
5e6m_3,crystal,0.209,False
5k93_1,crystal,0.025,False
1nft_2,crystal,0.026,False
1m6u_9,crystal,0.287,False
3nyl_3,crystal,0.002,False
4rb0_7,biological,0.669,False
5mzo_2,crystal,0.010,False
3wxm_3,crystal,0.189,False
1alu_1,crystal,0.041,False
4fqn_1,crystal,0.258,False
6gjq_3,biological,0.916,False
5wme_5,crystal,0.093,False
6jol_2,crystal,0.258,False
6r2s_8,crystal,0.243,False
4x94_4,crystal,0.093,False
4ytv_3,crystal,0.051,False
5omn_2,crystal,0.086,False
5uos_1,crystal,0.402,False
5l7d_1,crystal,0.053,False
1tf5_1,crystal,0.049,True
1k6i_3,biological,0.616,False
2rhj_1,biological,0.526,False
4aw3_1,crystal,0.228,False
1v4t_4,biological,0.678,False
1wac_4,crystal,0.003,False
6o8b_4,crystal,0.212,False
6h4h_10,crystal,0.086,False
1fu1_8,crystal,0.399,False
4q7j_22,crystal,0.027,False
5mat_1,crystal,0.151,False
6pkc_4,biological,0.659,False
5c9v_3,crystal,0.213,False
2xbf_2,crystal,0.180,False
4qds_1,biological,0.941,False
3a1d_5,crystal,0.089,False
2rdi_2,biological,0.854,False
2j3s_1,crystal,0.096,False
1t1l_1,biological,0.819,False
4iry_1,crystal,0.197,False
4bla_10,crystal,0.037,False
6qgs_17,biological,0.993,False
3tsw_4,crystal,0.082,False
5lta_3,crystal,0.033,False
3bxz_1,biological,0.988,False
2f9q_2,crystal,0.032,False
4l3q_1,crystal,0.006,False
2o7m_6,biological,0.580,False
1nft_1,crystal,0.393,False
2ffv_3,crystal,0.112,False
5y9h_4,biological,0.891,False
4ccf_7,crystal,0.479,False
1b23_4,crystal,0.024,False
1psa_1,crystal,0.002,False
5b3z_1,crystal,0.085,False
3u8z_10,crystal,0.357,False
5f74_2,crystal,0.035,False
3nc1_5,crystal,0.048,False
4lo5_2,crystal,0.348,False
2b8h_6,crystal,0.010,False
6otn_2,crystal,0.023,False
4ex4_1,crystal,0.004,False
5ztf_1,crystal,0.125,False
2ahm_21,biological,0.764,False
1ku2_4,biological,0.958,False
4nif_2,biological,0.838,False
5eqf_7,crystal,0.007,False
4pwz_1,crystal,0.278,False
1o92_2,crystal,0.096,False
2dh6_1,crystal,0.058,False
4pln_1,crystal,0.482,False
3zyl_1,biological,0.883,False
3jw0_13,crystal,0.012,False
5coa_3,crystal,0.467,False
1pd5_26,crystal,0.333,False
5hpk_5,crystal,0.080,False
5jrh_1,crystal,0.002,False
2qxl_1,crystal,0.017,False
6mxd_2,biological,0.937,False
5qsl_2,crystal,0.413,False
3wkl_2,crystal,0.264,False
4bq8_3,biological,0.533,False
4c5g_6,crystal,0.119,False
1zbh_2,crystal,0.243,False
1ors_10,biological,0.999,False
6orf_1,crystal,0.078,False
5l40_2,crystal,0.478,False
5fjz_4,crystal,0.009,False
1rk4_1,biological,0.964,False
6lnp_1,biological,0.512,False
4b87_1,crystal,0.275,False
6fjv_2,biological,0.963,False
4q5y_1,crystal,0.154,False
5l7n_1,crystal,0.367,False
3vdu_4,biological,0.700,False
6qq2_2,crystal,0.016,False
4paa_1,crystal,0.003,False
1fdj_11,crystal,0.320,False
5kz6_1,crystal,0.320,False
3mlo_3,crystal,0.162,False
5xbi_1,crystal,0.060,False
2f1m_2,crystal,0.308,False
5lj8_3,crystal,0.038,False
3mg9_3,crystal,0.320,False
6g8t_3,biological,0.834,False
4wzh_4,crystal,0.035,False
4g1l_10,crystal,0.318,False
5ca9_6,crystal,0.495,False
3uen_5,crystal,0.320,False
4zlp_4,crystal,0.062,False
5gus_1,crystal,0.190,False
4zai_4,biological,0.873,False
6d2s_6,biological,0.994,False
2xeq_5,crystal,0.221,False
5na8_5,crystal,0.047,False
2yaz_6,crystal,0.079,False
3b7m_6,crystal,0.224,False
1u2j_24,biological,0.553,False
3k44_21,crystal,0.074,False
1gxd_4,crystal,0.064,False
4k5s_1,crystal,0.029,False
4knh_4,crystal,0.046,False
1fcf_6,crystal,0.148,False
2wnh_5,crystal,0.004,False
3fg6_42,crystal,0.053,False
1pxv_1,biological,0.612,False
2xeq_1,crystal,0.056,False
2hb0_1,crystal,0.021,False
5iu2_1,biological,0.926,False
6vdd_2,crystal,0.027,False
1vg9_2,crystal,0.119,False
4f7o_1,biological,0.698,False
1e0r_2,crystal,0.234,False
3pfy_4,biological,0.873,False
3hgv_3,crystal,0.161,False
5zmd_1,crystal,0.069,False
3ro8_19,biological,0.948,False
1g68_1,crystal,0.034,False
3ani_1,crystal,0.040,False
3ut0_7,crystal,0.010,False
5c3q_18,crystal,0.027,False
2jbx_1,biological,0.960,False
4mko_2,biological,0.892,False
5ho9_4,crystal,0.004,False
4kkd_1,crystal,0.128,False
5y2f_2,crystal,0.453,False
4zdu_4,crystal,0.002,False
5f5r_2,crystal,0.039,False
4i8c_13,crystal,0.036,False
4czm_1,biological,0.549,False
1syq_8,crystal,0.076,False
1si5_3,crystal,0.111,False
5mfa_3,crystal,0.423,False
4gml_1,crystal,0.500,False
3l9n_5,crystal,0.006,False
3aad_12,biological,0.540,False
1or3_7,crystal,0.140,False
1xrc_5,crystal,0.123,False
6mav_7,biological,0.885,False
3wgn_3,crystal,0.086,False
3oym_4,crystal,0.068,False
2f1z_5,crystal,0.106,False
4nxw_2,crystal,0.022,False
2i7p_1,crystal,0.246,False
4gdy_11,biological,0.538,False
1ggt_10,crystal,0.467,False
2iut_6,crystal,0.005,False
6b5q_7,crystal,0.018,False
5jk9_1,crystal,0.018,False
6fwt_2,crystal,0.010,False
1i49_3,crystal,0.112,False
6i3j_3,crystal,0.003,False
5crb_1,biological,0.754,False
5y3e_2,biological,0.689,False
6nfl_3,biological,0.506,False
5j1f_4,crystal,0.032,False
4hd0_5,crystal,0.140,False
4g37_4,crystal,0.014,False
6kc6_7,crystal,0.056,False
3rmk_3,crystal,0.013,False
2w68_11,biological,0.939,False
4pyz_1,crystal,0.033,False
2d4h_1,crystal,0.306,False
3al9_1,crystal,0.073,False
3sti_6,crystal,0.139,False
6qpp_2,biological,0.960,False
1khx_2,crystal,0.018,False
5tdq_2,biological,0.847,False
3lqe_5,crystal,0.426,False
4ikm_1,crystal,0.020,False
3ret_7,biological,0.982,False
1nf7_4,crystal,0.045,False
5kyn_7,crystal,0.335,False
